oblig_id	category	source_id	title_zh	evidence_pointer	carried_from	status	terminal_criterion_zh
P3G-OB-011	LTO-CAUSE	DECL-MAIN-NODE-FIELD-OR-ORDER	六个 .gnu.lto_.decls 主流差异的根因未定：节点字段差 还是 记录顺序差	/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/unresolved-ledger.tsv#L2;/Users/apple/Projects/openwch/analysis/toolchain/phase3f-closure.md#L136;/Users/apple/Projects/openwch/analysis/toolchain/phase3f-completion-audit.md#L60;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/decl-main-diff-ledger.tsv;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/source-anchors.tsv	phase3f-closure	CARRIED	该 producer cause 被带到终局：或以上游惯用形态的可解释源码改动闭合并使对应 .o 字节相等，或给出机器证据 + 复现条件后判为 GAP/metadata 归因；最终 ELF/BIN 相等不豁免 .o 字节 gate。
P3G-OB-012	LTO-CAUSE	ICF-HASH-INPUT-CAUSE	四个 .gnu.lto_.icf 流中 sem_item::get_hash() 序列化字段差的哈希输入根因未定	/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/unresolved-ledger.tsv#L3;/Users/apple/Projects/openwch/analysis/toolchain/phase3f-closure.md#L136;/Users/apple/Projects/openwch/analysis/toolchain/phase3f-completion-audit.md#L60;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/icf-field-ledger.tsv;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/source-anchors.tsv	phase3f-closure	CARRIED	该 producer cause 被带到终局：或以上游惯用形态的可解释源码改动闭合并使对应 .o 字节相等，或给出机器证据 + 复现条件后判为 GAP/metadata 归因；最终 ELF/BIN 相等不豁免 .o 字节 gate。
P3G-OB-013	LTO-CAUSE	DEBUG-STATEMENT-FRONTIER-ORIGIN	O2+g3 debug 语句前沿差异的来源未定：前端/GIMPLE 创建 还是 序列化	/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/unresolved-ledger.tsv#L4;/Users/apple/Projects/openwch/analysis/toolchain/phase3f-closure.md#L136;/Users/apple/Projects/openwch/analysis/toolchain/phase3f-completion-audit.md#L60;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/decoder-ledger.tsv;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/decoder-comparisons.tsv	phase3f-closure	CARRIED	该 producer cause 被带到终局：或以上游惯用形态的可解释源码改动闭合并使对应 .o 字节相等，或给出机器证据 + 复现条件后判为 GAP/metadata 归因；最终 ELF/BIN 相等不豁免 .o 字节 gate。
P3G-OB-014	ACCEPTANCE-FIX	P3G-AF-RC04-ESCAPE	RC04 探针验证器诊断串双重转义 bug（期望字节串写成 b'\\tmret\\n'）——修复后必须重跑 RC04 探针	/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/known-cluster-v2/validate.py#L206;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/known-cluster-v2/validate.py#L203;/Users/apple/Projects/openwch/tmp/prompts/phase-3g.md#L40	phase3f-acceptance	CARRIED	修正 validate.py 中双重转义的诊断计数串，在 OURS-V3.x 上重跑 RC04 四侧探针并使验证器的断言与诊断输出一致，得到与断言同源的 mret/ret 计数证据，方算终局。
P3G-OB-015	ACCEPTANCE-FIX	P3G-AF-RC03-OWN-PROBE	RC03（BLE library -Os inlining/elimination policy differs，phase-3b 影响 45 工程/225 gate 产物）在 3f 被以 MERGE-EXISTING-GAP 并入 P3F-MM-HIGHCODE-PARAM，仅有 phase-3d 指针而无本阶段自有探针——须建 phase-3g 自有探针	/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/known-cluster-v2/cluster-dispositions.tsv#L2;/Users/apple/Projects/openwch/tmp/phase3b-evidence/stage-b/root-cause-clusters.tsv#L4;/Users/apple/Projects/openwch/tmp/phase3b-evidence/stage-b/root-cause-clusters.tsv#cluster_id=RC03;/Users/apple/Projects/openwch/tmp/phase3d-evidence/t2-rc01/full-audit-v2/summary.json;/Users/apple/Projects/openwch/tmp/phase3d-evidence/t2-rc01/full-audit-v2/scoped-gate-transitions.tsv#scope=highcode-candidate;/Users/apple/Projects/openwch/tmp/phase3d-evidence/t2-rc01/full-audit-v2/changed-projects.tsv#project=QingkeV3C_CH587_EVT/EXAM/BLE/BLE_UART/BLE_UART.wvproj	phase3f-acceptance	CARRIED	phase-3g 建立本阶段自有的最小四侧探针（不再仅以 phase-3d 证据作指针），在 OURS-V3.x 上实测该簇行为，给出 CLOSED 或 RESIDUAL 判定与四侧证据，方算终局。
P3G-OB-016	ACCEPTANCE-FIX	P3G-AF-RC08-OWN-PROBE	RC08（Voilent_Fan function emission order differs，phase-3b 影响 1 工程/4 gate 产物）在 3f 被以 MERGE-EXISTING-GAP 并入 P3F-MM-HIGHCODE-PARAM，仅有 phase-3d 指针而无本阶段自有探针——须建 phase-3g 自有探针	/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/known-cluster-v2/cluster-dispositions.tsv#L7;/Users/apple/Projects/openwch/tmp/phase3b-evidence/stage-b/root-cause-clusters.tsv#L9;/Users/apple/Projects/openwch/tmp/phase3b-evidence/stage-b/root-cause-clusters.tsv#cluster_id=RC08;/Users/apple/Projects/openwch/tmp/phase3d-evidence/t2-rc01/full-audit-v2/summary.json;/Users/apple/Projects/openwch/tmp/phase3d-evidence/t2-rc01/full-audit-v2/scoped-gate-transitions.tsv#scope=highcode-candidate;/Users/apple/Projects/openwch/tmp/phase3d-evidence/t2-rc01/full-audit-v2/changed-projects.tsv#project=QingkeV2AC_CH32V00x/EXAM/APPLICATION/Motor/Voilent_Fan/Voilent_Fan.wvproj	phase3f-acceptance	CARRIED	phase-3g 建立本阶段自有的最小四侧探针（不再仅以 phase-3d 证据作指针），在 OURS-V3.x 上实测该簇行为，给出 CLOSED 或 RESIDUAL 判定与四侧证据，方算终局。
P3G-OB-017	ACCEPTANCE-FIX	P3G-AF-RC09-OWN-PROBE	RC09（PeripheralSC ECC constprop function order differs，phase-3b 影响 1 工程/7 gate 产物）在 3f 被以 MERGE-EXISTING-GAP 并入 P3F-MM-HIGHCODE-PARAM，仅有 phase-3d 指针而无本阶段自有探针——须建 phase-3g 自有探针	/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/known-cluster-v2/cluster-dispositions.tsv#L8;/Users/apple/Projects/openwch/tmp/phase3b-evidence/stage-b/root-cause-clusters.tsv#L10;/Users/apple/Projects/openwch/tmp/phase3b-evidence/stage-b/root-cause-clusters.tsv#cluster_id=RC09;/Users/apple/Projects/openwch/tmp/phase3d-evidence/t2-rc01/full-audit-v2/summary.json;/Users/apple/Projects/openwch/tmp/phase3d-evidence/t2-rc01/full-audit-v2/scoped-gate-transitions.tsv#scope=highcode-candidate;/Users/apple/Projects/openwch/tmp/phase3d-evidence/t2-rc01/full-audit-v2/changed-projects.tsv#project=QingkeV3C_CH587_EVT/EXAM/BLE/PeripheralSC/PeripheralSC.wvproj	phase3f-acceptance	CARRIED	phase-3g 建立本阶段自有的最小四侧探针（不再仅以 phase-3d 证据作指针），在 OURS-V3.x 上实测该簇行为，给出 CLOSED 或 RESIDUAL 判定与四侧证据，方算终局。
P3G-OB-018	ACCEPTANCE-FIX	P3G-AF-RC07-PHASE3B-SHAPE	RC07（non-returning fast-interrupt register allocation differs）须按 phase-3b 实例形状复现：5 个 CoreMark 变体、5 个直接对象、最小复现「index 405 CoreMark ch32x3x5_it.c HardFault_Handler」、首个分歧「canonical uses a5 for the final address while ours reserves/uses t0 in the same non-returning handler」	/Users/apple/Projects/openwch/tmp/phase3b-evidence/stage-b/root-cause-clusters.tsv#L8;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/known-cluster-v2/cluster-dispositions.tsv#L6;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/known-cluster-v2/validate.py#L214	phase3f-acceptance	CARRIED	以 phase-3b root-cause-clusters.tsv 记录的 RC07 实例形状（CoreMark 变体集合与 addi a5 / addi t0 签名）在 OURS-V3.x 上四侧复现，覆盖其全部实例而非单一代表性探针，给出 CLOSED 或 RESIDUAL 判定，方算终局。
P3G-OB-019	ACCEPTANCE-FIX	P3G-AF-LANE-DENOMINATOR	lane 分母表只有 6 个 lane、覆盖 7/10 个 mismatch 类，未被任何 lane 覆盖的 3 类为：P3F-MM-CCV-ABI-PARAM、P3F-MM-FASTIRQ-VECTOR-DEFAULT、P3F-MM-HIGHCODE-PARAM	/Users/apple/Projects/openwch/tmp/phase3f-evidence/finding-ledger/lane-raw-counts.tsv#L1;/Users/apple/Projects/openwch/analysis/toolchain/phase3f-closure.md#L111	phase3f-acceptance	CARRIED	phase-3g 的 lane 分母表覆盖全部 10 个 mismatch 类，每类都有具名 lane、分母、物理同路径控制计数与 substantive 计数，且保留 lane-local 不可相加的聚合规则，方算终局。
P3G-OB-020	ACCEPTANCE-FIX	P3G-AF-POSTSTATE-DRIFT	post-state 在 3177 行并集中有 14 行 DIFF（差异字段分布 {'size,sha256': 14}），3f 未逐条枚举漂移路径也未给等价性判定	/Users/apple/Projects/openwch/tmp/phase3f-evidence/poststate/current/active-output-comparison.tsv#L1;/Users/apple/Projects/openwch/analysis/toolchain/phase3f-poststate-audit.md#L52	phase3f-acceptance	CARRIED	phase-3g 全量枚举这 14 条漂移路径，逐条给出等价性判定（等价/不等价 + 依据），无一条以聚合计数代替逐条判定，方算终局。
P3G-OB-021	FEATURE-V3	P3G-FEATURE-MATRIX-V3	35-feature 矩阵（v2 口径分布 {'COVERED-BEHAVIOR-EXACT': 11, 'COVERED-BYTE-EXACT': 18, 'GAP': 5, 'UPSTREAM-IDENTICAL': 1}）须在现树 GCC 9 + binutils 6 上全量重判	/Users/apple/Projects/openwch/analysis/toolchain/phase3f-feature-coverage-v2.tsv#L1;/Users/apple/Projects/openwch/analysis/toolchain/phase3f-closure.md#L78	phase3f-closure	CARRIED	35 行 feature 在 OURS-V3.1 上四侧全量重跑并逐行重判，产出 phase3g-feature-coverage-v3.tsv（含 append-only 新候选）；UNAVAILABLE 不得渲染为 EXACT，COVERED-* 不得携带未过 mandatory probe，方算终局。
P3G-OB-022	HOST-T5	T5:bin/riscv32-wch-elf-addr2line|-|RECLASSIFIED-PURE-HOST-ABI	[回登·改判无效] bin/riscv32-wch-elf-addr2line：6 条 functional 区间行（18364 字节，侧 OURS-V2/UPSTREAM-MATCHED/UPSTREAM-P2/WCH，段 section:__TEXT,__eh_frame、section:__TEXT,__init_offsets、section:__TEXT,__unwind_info）被词法规则 IR-RECLASSIFY-PURE-HOST-ABI-SECTION-NO-TARGET-MARKERS-V1 改判为 RECLASSIFIED-PURE-HOST-ABI，该整类改判已被裁定无效，回登为未归因	/Users/apple/Projects/openwch/tmp/phase3g-evidence/obligations/host-t5-rows.tsv#L2-L7;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv#L1	phase3f-t5	CARRIED	该组区间行在 T7 按 phase-3f 任务书 §9 原始强度做 feature 级函数/数据表归因（禁止以词法规则整类改判）；归因不上的按真 finding 立案走「静态存在 -> 动态触发 -> 归因」，确实无法归因的如实保留 unresolved，方算终局。
P3G-OB-023	HOST-T5	T5:bin/riscv32-wch-elf-addr2line|-|RECLASSIFIED-PURE-HOST-DATA	[回登·改判无效] bin/riscv32-wch-elf-addr2line：4 条 functional 区间行（39200 字节，侧 OURS-V2/UPSTREAM-MATCHED/UPSTREAM-P2/WCH，段 section:__DATA,__data）被词法规则 IR-RECLASSIFY-PURE-HOST-DATA-SECTION-NO-TARGET-MARKERS-V1 改判为 RECLASSIFIED-PURE-HOST-DATA，该整类改判已被裁定无效，回登为未归因	/Users/apple/Projects/openwch/tmp/phase3g-evidence/obligations/host-t5-rows.tsv#L8-L11;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv#L1	phase3f-t5	CARRIED	该组区间行在 T7 按 phase-3f 任务书 §9 原始强度做 feature 级函数/数据表归因（禁止以词法规则整类改判）；归因不上的按真 finding 立案走「静态存在 -> 动态触发 -> 归因」，确实无法归因的如实保留 unresolved，方算终局。
P3G-OB-024	HOST-T5	T5:bin/riscv32-wch-elf-addr2line|L4-FEAT-TOOLS|MAPPED-TERMINAL	bin/riscv32-wch-elf-addr2line：9 条 functional 区间行（937170 字节，侧 OURS-V2/UPSTREAM-MATCHED/UPSTREAM-P2/WCH，实现组 BINUTILS-ADDR2LINE）映射到 feature 候选 L4-FEAT-TOOLS，须按 T7 强度重裁	/Users/apple/Projects/openwch/tmp/phase3g-evidence/obligations/host-t5-rows.tsv#L12-L20;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv#L1	phase3f-t5	CARRIED	该组区间行在 T7 于 OURS-V3.1 上重新验证其 feature 归属与终局状态（whole __TEXT,__text 不得以实现组件泛化归属代替逐函数归因），得到 feature 级归因结论或如实保留 unresolved，方算终局。
P3G-OB-025	HOST-T5	T5:bin/riscv32-wch-elf-addr2line|L4-FEAT-TOOLS,L1-FEAT-IDENTITY,L1-FEAT-ZSTD,L2-FEAT-QINGKE-CPU|MAPPED-TERMINAL	bin/riscv32-wch-elf-addr2line：4 条 functional 区间行（495589 字节，侧 OURS-V2/UPSTREAM-MATCHED/UPSTREAM-P2/WCH，实现组 BINUTILS-ADDR2LINE）映射到 feature 候选 L4-FEAT-TOOLS,L1-FEAT-IDENTITY,L1-FEAT-ZSTD,L2-FEAT-QINGKE-CPU，须按 T7 强度重裁	/Users/apple/Projects/openwch/tmp/phase3g-evidence/obligations/host-t5-rows.tsv#L21-L24;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv#L1	phase3f-t5	CARRIED	该组区间行在 T7 于 OURS-V3.1 上重新验证其 feature 归属与终局状态（whole __TEXT,__text 不得以实现组件泛化归属代替逐函数归因），得到 feature 级归因结论或如实保留 unresolved，方算终局。
P3G-OB-026	HOST-T5	T5:bin/riscv32-wch-elf-addr2line|L4-FEAT-TOOLS,L4-FEAT-ELFEDIT-MMAP|MAPPED-TERMINAL	bin/riscv32-wch-elf-addr2line：3 条 functional 区间行（1895136 字节，侧 OURS-V2/UPSTREAM-MATCHED/UPSTREAM-P2，实现组 BINUTILS-ADDR2LINE）映射到 feature 候选 L4-FEAT-TOOLS,L4-FEAT-ELFEDIT-MMAP，须按 T7 强度重裁	/Users/apple/Projects/openwch/tmp/phase3g-evidence/obligations/host-t5-rows.tsv#L25-L27;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv#L1	phase3f-t5	CARRIED	该组区间行在 T7 于 OURS-V3.1 上重新验证其 feature 归属与终局状态（whole __TEXT,__text 不得以实现组件泛化归属代替逐函数归因），得到 feature 级归因结论或如实保留 unresolved，方算终局。
P3G-OB-027	HOST-T5	T5:bin/riscv32-wch-elf-ar|-|RECLASSIFIED-PURE-HOST-ABI	[回登·改判无效] bin/riscv32-wch-elf-ar：6 条 functional 区间行（19164 字节，侧 OURS-V2/UPSTREAM-MATCHED/UPSTREAM-P2/WCH，段 section:__TEXT,__eh_frame、section:__TEXT,__init_offsets、section:__TEXT,__unwind_info）被词法规则 IR-RECLASSIFY-PURE-HOST-ABI-SECTION-NO-TARGET-MARKERS-V1 改判为 RECLASSIFIED-PURE-HOST-ABI，该整类改判已被裁定无效，回登为未归因	/Users/apple/Projects/openwch/tmp/phase3g-evidence/obligations/host-t5-rows.tsv#L28-L33;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv#L1	phase3f-t5	CARRIED	该组区间行在 T7 按 phase-3f 任务书 §9 原始强度做 feature 级函数/数据表归因（禁止以词法规则整类改判）；归因不上的按真 finding 立案走「静态存在 -> 动态触发 -> 归因」，确实无法归因的如实保留 unresolved，方算终局。
P3G-OB-028	HOST-T5	T5:bin/riscv32-wch-elf-ar|-|RECLASSIFIED-PURE-HOST-DATA	[回登·改判无效] bin/riscv32-wch-elf-ar：4 条 functional 区间行（38368 字节，侧 OURS-V2/UPSTREAM-MATCHED/UPSTREAM-P2/WCH，段 section:__DATA,__data）被词法规则 IR-RECLASSIFY-PURE-HOST-DATA-SECTION-NO-TARGET-MARKERS-V1 改判为 RECLASSIFIED-PURE-HOST-DATA，该整类改判已被裁定无效，回登为未归因	/Users/apple/Projects/openwch/tmp/phase3g-evidence/obligations/host-t5-rows.tsv#L34-L37;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv#L1	phase3f-t5	CARRIED	该组区间行在 T7 按 phase-3f 任务书 §9 原始强度做 feature 级函数/数据表归因（禁止以词法规则整类改判）；归因不上的按真 finding 立案走「静态存在 -> 动态触发 -> 归因」，确实无法归因的如实保留 unresolved，方算终局。
P3G-OB-029	HOST-T5	T5:bin/riscv32-wch-elf-ar|L4-FEAT-ARCHIVE|MAPPED-TERMINAL	bin/riscv32-wch-elf-ar：9 条 functional 区间行（967670 字节，侧 OURS-V2/UPSTREAM-MATCHED/UPSTREAM-P2/WCH，实现组 BINUTILS-ARCHIVE）映射到 feature 候选 L4-FEAT-ARCHIVE，须按 T7 强度重裁	/Users/apple/Projects/openwch/tmp/phase3g-evidence/obligations/host-t5-rows.tsv#L38-L46;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv#L1	phase3f-t5	CARRIED	该组区间行在 T7 于 OURS-V3.1 上重新验证其 feature 归属与终局状态（whole __TEXT,__text 不得以实现组件泛化归属代替逐函数归因），得到 feature 级归因结论或如实保留 unresolved，方算终局。
