audit_id	semantic_finding_id	source_family	source_row_ids	mcu_scope	revision_or_lot_scope	original_strength	hardware_causality_confirmed	workaround_location	wch_static_hook_or_table	static_evidence	minimal_input	dynamic_probe_ids	wch_behavior	upstream_p2_behavior	upstream_matched_behavior	ours_behavior	classification	confidence	positive_evidence	negative_evidence	uncovered_conditions	evidence_ids
L2-ERR-017	SEM-DOC-029FAD647617FFC29C1B	06C-DOCUMENT	LOT-V407-002	tmp/wch-evt/application_notes/CH32V407RM.PDF	documented revision/lot condition in source row	LOT-GATED-CAPABILITY	false	HARDWARE-DOCUMENT	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/errata_clean.c	errata_clean_O0,errata_clean_O2,errata_clean_Os,L2-087-errata-clean-gimple	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	HARDWARE/DOCUMENT-ONLY	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-014	SEM-DOC-0445F8987FDF04A32FCE	06C-DOCUMENT	LOT-V407-001	tmp/wch-evt/application_notes/CH32V407RM.PDF	documented revision/lot condition in source row	DOCUMENTED-LOT-REQUIREMENT	false	HARDWARE-DOCUMENT	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/errata_clean.c	errata_clean_O0,errata_clean_O2,errata_clean_Os,L2-087-errata-clean-gimple	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	HARDWARE/DOCUMENT-ONLY	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-018	SEM-DOC-0E7F21069095DDE6CCF4	06C-DOCUMENT	LOT-X315-001	tmp/wch-evt/application_notes/CH32X315RM.PDF	documented revision/lot condition in source row	LOT-GATED-CAPABILITY	false	HARDWARE-DOCUMENT	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/errata_clean.c	errata_clean_O0,errata_clean_O2,errata_clean_Os,L2-087-errata-clean-gimple	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	HARDWARE/DOCUMENT-ONLY	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-015	SEM-DOC-273BE0CCE8834FC9182B	06C-DOCUMENT	LOT-H417-003	tmp/wch-evt/application_notes/CH32H417RM.PDF	documented revision/lot condition in source row	DOCUMENTED-LOT-LIMITATION	false	HARDWARE-DOCUMENT	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/errata_clean.c	errata_clean_O0,errata_clean_O2,errata_clean_Os,L2-087-errata-clean-gimple	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	HARDWARE/DOCUMENT-ONLY	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-011	SEM-DOC-5005077C54BE225420A2	06C-DOCUMENT	LOT-H417-002	tmp/wch-evt/application_notes/CH32H417RM.PDF	documented revision/lot condition in source row	LOT-GATED-CAPABILITY	false	HARDWARE-DOCUMENT	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/errata_clean.c	errata_clean_O0,errata_clean_O2,errata_clean_Os,L2-087-errata-clean-gimple	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	HARDWARE/DOCUMENT-ONLY	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-021	SEM-DOC-5F868C97ECF5BC84B3C3	06C-DOCUMENT	LOT-H417-001	tmp/wch-evt/application_notes/CH32H417RM.PDF	documented revision/lot condition in source row	DOCUMENTED-LOT-ERRATUM	documented-lot-erratum-only	HARDWARE-DOCUMENT	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/errata_clean.c	errata_clean_O0,errata_clean_O2,errata_clean_Os,L2-087-errata-clean-gimple	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	HARDWARE/DOCUMENT-ONLY	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-022	SEM-DOC-628D4278C3B0DD149214	06C-DOCUMENT	LOT-FV3X-001	tmp/wch-evt/application_notes/CH32FV2x_V3xRM.PDF	documented revision/lot condition in source row	DOCUMENTED-LOT-LIMITATION	false	HARDWARE-DOCUMENT	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/errata_clean.c	errata_clean_O0,errata_clean_O2,errata_clean_Os,L2-087-errata-clean-gimple	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	HARDWARE/DOCUMENT-ONLY	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-019	SEM-DOC-8E2735B43BA74C6E6E3A	06C-DOCUMENT	LOT-H417-GUIDE-001	tmp/wch-evt/evt/QingkeV5F_CH32H417_EVT/PUB/CH32H417∆¿π¿∞ÂÀµ√˜ È.pdf	documented revision/lot condition in source row	LOT-GATED-CAPABILITY	false	HARDWARE-DOCUMENT	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/errata_clean.c	errata_clean_O0,errata_clean_O2,errata_clean_Os,L2-087-errata-clean-gimple	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	HARDWARE/DOCUMENT-ONLY	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-016	SEM-DOC-A77B9EA94FAD32E2B62D	06C-DOCUMENT	LOT-V003-001,LOT-X103-001	tmp/wch-evt/application_notes/CH32V003RM.PDF	documented revision/lot condition in source row	DOCUMENTED-LOT-LIMITATION	false	HARDWARE-DOCUMENT	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/errata_clean.c	errata_clean_O0,errata_clean_O2,errata_clean_Os,L2-087-errata-clean-gimple	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	HARDWARE/DOCUMENT-ONLY	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-012	SEM-DOC-D51C4EA4BFF602D757DB	06C-DOCUMENT	LOT-H417-004	tmp/wch-evt/application_notes/CH32H417RM.PDF	documented revision/lot condition in source row	DOCUMENTED-LOT-LIMITATION	false	HARDWARE-DOCUMENT	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/errata_clean.c	errata_clean_O0,errata_clean_O2,errata_clean_Os,L2-087-errata-clean-gimple	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	HARDWARE/DOCUMENT-ONLY	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-013	SEM-DOC-E8AE55B8922C5EF977C6	06C-DOCUMENT	LOT-H417-005	tmp/wch-evt/application_notes/CH32H417RM.PDF	documented revision/lot condition in source row	DOCUMENTED-LOT-LIMITATION	false	HARDWARE-DOCUMENT	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/errata_clean.c	errata_clean_O0,errata_clean_O2,errata_clean_Os,L2-087-errata-clean-gimple	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	HARDWARE/DOCUMENT-ONLY	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-020	SEM-DOC-F2F11E1CEB0DBCC8AF4B	06C-DOCUMENT	DOC-REV-001,DOC-REV-002	tmp/wch-evt/application_notes/CH32V205RM.PDF	documented revision/lot condition in source row	DOCUMENTED-REVISION-REQUIREMENT	false	HARDWARE-DOCUMENT	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/errata_clean.c	errata_clean_O0,errata_clean_O2,errata_clean_Os,L2-087-errata-clean-gimple	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	HARDWARE/DOCUMENT-ONLY	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-041	SEM-ISA-CUSTOM-CSR	RESEARCH	ISA-CUSTOM-CSR	V2;V3;V4;V5 device-specific	processor/ISA condition in research row	MANUAL+TOOLCHAIN-OBSERVATION	false	NONE-PROVEN-IN-GCC	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/csr.c	inline_csr_delay_wfe	numeric CSR inline asm compiles	direct cc1 equal	NOT-RUN-LATE-AVAILABLE	byte-equal target object	BINUTILS-ONLY	HIGH	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-035	SEM-ISA-MCPY	RESEARCH	ISA-MCPY	V2C;V3B/C;V3V;V5F evidence scopes	processor/ISA condition in research row	MANUAL+SDK+TOOLCHAIN	false	NONE-PROVEN-IN-GCC	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/core.c	core_O0..core_Oz	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	NO-GCC-EVIDENCE	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-043	SEM-ISA-MRS	RESEARCH	ISA-MRS	V2C/V3B evidence scopes	processor/ISA condition in research row	SDK+TOOLCHAIN+LIMITED-MANUAL	false	NONE-PROVEN-IN-GCC	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/core.c	core_O0..core_Oz	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	NO-GCC-EVIDENCE	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-037	SEM-ISA-XW-CONFLICT	RESEARCH	ISA-XW-CONFLICT	XW-capable cores	processor/ISA condition in research row	ENCODING+TOOLCHAIN-OBSERVATION	false	NONE-PROVEN-IN-GCC	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/core.c	xw_bare,xw_2p0,xw_2p2,xw_with_d	XW versions accepted	rejects XW	NOT-RUN-LATE-AVAILABLE	byte-equal to WCH	GCC-FEATURE-NOT-ERRATUM	HIGH	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-036	SEM-PROC-DELAY	RESEARCH	PROC-DELAY	V3 mimpid>=3	processor/ISA condition in research row	MANUAL+TOOLCHAIN-OBSERVATION	false	NONE-PROVEN-IN-GCC	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/csr.c	inline_csr_delay_wfe	delay accepted only through explicit .insn in fixture	delay accepted only through explicit .insn in fixture	NOT-RUN-LATE-AVAILABLE	delay accepted only through explicit .insn in fixture	BINUTILS-ONLY	HIGH	source/manual/runtime behavior retained in frozen lead ledger	no delay option or backend hook found	finding-specific clean input and affected silicon runtime not executed	L2-088-target-option-surface,L2-089-mimpid-fence-source
L2-ERR-039	SEM-PROC-FAST-IRQ	RESEARCH	PROC-FAST-IRQ	V2;V3;V4;V5	processor/ISA condition in research row	MANUAL+COMPILER-FIXTURE	false	GCC-BACKEND-FEATURE	WCH-Interrupt-fast attribute/frame paths	riscv.cc attribute, save, FCSR, rename mechanisms	interrupt_* fixtures	21 interrupt matrix cases	exact attribute and tested HPE frames	warns and lowers as ordinary function	NOT-RUN-LATE-AVAILABLE	byte-equal to WCH for 21 artifact rows	GCC-FEATURE-NOT-ERRATUM	HIGH	WCH/OURS exact outputs and source patch	no causal silicon erratum asserted	on-device HPE generation matrix	L2-050-static-patch-diff,L2-078-fast-interrupt-representatives,L2-080-direct-cc1-controls
L2-ERR-042	SEM-PROC-FENCEI	RESEARCH	PROC-FENCEI	CH32FV2x/V3x;CH32L103;CH32M030;CH32V003	processor/ISA condition in research row	DOCUMENTED-REQUIREMENT	false	NONE-PROVEN-IN-GCC	generic clear_cache expansion under Zifencei	riscv.md clear_cache emits fence.i only for explicit cache-clear request	errata_clean.c mask sequence	errata_clean_O0,errata_clean_O2,errata_clean_Os	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	NO-GCC-EVIDENCE	HIGH	generic fence.i MD pattern exists	clean interrupt masking did not acquire fence.i	finding-specific clean input and affected silicon runtime not executed	L2-087-errata-clean-gimple,L2-089-mimpid-fence-source
