closure_row_id	phase3c_row_id	source_kind	source_file	obligation_classes	blocking_reason	target_disposition_path	disposition	v2_row_pointer	evidence	notes
P3F-CLOSURE-0016	L4-GAP-ELF-ZSTD	UNRESOLVED-LEDGER	tmp/phase3c-evidence/unresolved.tsv	unresolved-ledger	HAVE_ZSTD disabled and libzstd packaging/imports absent	enable binutils zstd and package matching dylibs/import paths; rebuild immutable control	SUPERSEDED-BY-V2	analysis/toolchain/phase3f-feature-coverage-v2.tsv::L1-FEAT-ZSTD	analysis/toolchain/phase3f-feature-coverage-v2.tsv::L1-FEAT-ZSTD;tmp/phase3f-evidence/matrix/l4/probe-results.tsv	phase3c_status=OPEN-GAP;subject=L4-FEAT-ELF-ZSTD;closure_event=P3F-EVENT-0016;V2 equivalent rows supersede the old OPEN-GAP and forward the same terminal zstd GAP.;Historical obligation terminally adjudicated against the frozen V2 snapshot; any referenced GAP remains forwarded.
P3F-CLOSURE-0017	L4-GAP-ELFEDIT-MMAP	UNRESOLVED-LEDGER	tmp/phase3c-evidence/unresolved.tsv	unresolved-ledger	HAVE_MMAP undefined in P2/matched/replay config	configure host mmap capability and re-probe on a minimal x86 ELF GNU-property corpus	SUPERSEDED-BY-V2	analysis/toolchain/phase3f-feature-coverage-v2.tsv::L4-FEAT-ELFEDIT-MMAP	analysis/toolchain/phase3f-feature-coverage-v2.tsv::L4-FEAT-ELFEDIT-MMAP;tmp/phase3f-evidence/matrix/l4/probe-results.tsv	phase3c_status=OPEN-GAP;subject=L4-FEAT-ELFEDIT-MMAP;closure_event=P3F-EVENT-0017;V2 equivalent rows supersede the old OPEN-GAP and forward the same terminal mmap-gated elfedit GAP.;Historical obligation terminally adjudicated against the frozen V2 snapshot; any referenced GAP remains forwarded.
P3F-CLOSURE-0018	L4-UNRES-LTO-OBJECT	UNRESOLVED-LEDGER	tmp/phase3c-evidence/unresolved.tsv	unresolved-ledger	full T0 original dynamic handoff not available and target serialization belongs cross-lane	feature-directed LTO section/metadata attribution using preserved originals	STILL-UNRESOLVED	tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/unresolved-ledger.tsv::unresolved_id=DECL-MAIN-NODE-FIELD-OR-ORDER	tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/unresolved-ledger.tsv::unresolved_id=DECL-MAIN-NODE-FIELD-OR-ORDER;tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/unresolved-ledger.tsv::unresolved_id=ICF-HASH-INPUT-CAUSE;tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/unresolved-ledger.tsv::unresolved_id=DEBUG-STATEMENT-FRONTIER-ORIGIN	phase3c_status=OPEN;subject=L1-FEAT-LTO-OBJECT;closure_event=P3F-EVENT-2048;Three bounded slim-LTO attribution questions remain unresolved; the .o byte GAP remains forwarded but is not fully attributed.;Historical obligation terminally adjudicated against the frozen V2 snapshot; any referenced GAP remains forwarded.
P3F-CLOSURE-0019	L4-UNRES-MACHO-SEMANTICS	UNRESOLVED-LEDGER	tmp/phase3c-evidence/unresolved.tsv	unresolved-ledger	stripped/different host builds and T0 OURS originals unavailable	feature-directed function/table matching only if host semantics become gate-relevant	RULED-OUT-OF-GATE	tmp/phase3f-evidence/agents/binary-analysis/host-t5/decision-record.tsv::P3F-T5-HOST-MACHO	tmp/phase3f-evidence/agents/binary-analysis/host-t5/decision-record.tsv::P3F-T5-HOST-MACHO	phase3c_status=OPEN;subject=34-L4-BYTE-DIFF-PATHS;closure_event=P3F-EVENT-0019;V2 functional layer is closed; full remaining host attribution is outside the project gate.;Historical obligation terminally adjudicated against the frozen V2 snapshot; any referenced GAP remains forwarded.
P3F-CLOSURE-0020	L4-UNRES-OURS-ORIGINALS	UNRESOLVED-LEDGER	tmp/phase3c-evidence/unresolved.tsv	unresolved-ledger	active output cannot be trusted; replay cannot substitute	rerun from immutable T0 sources as OURS-PROVEN-REPLAY if policy permits, never alias original	SUPERSEDED-BY-V2	tmp/phase3f-evidence/poststate/current/audit.tsv::finding_id=PS-FROZEN-OURS	tmp/phase3f-evidence/poststate/current/audit.tsv::finding_id=PS-FROZEN-OURS;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv	phase3c_status=OPEN;subject=T0-OURS-34-PATHS-AND-DYNAMIC;closure_event=P3F-EVENT-2113;Historical missing originals are replaced, never aliased, by the manifest-exact V2 four-side denominator.;Historical obligation terminally adjudicated against the frozen V2 snapshot; any referenced GAP remains forwarded.
P3F-CLOSURE-0021	ROOT-UNRES-IDENTITY-INVOKED-PATH	UNRESOLVED-LEDGER	tmp/phase3c-evidence/unresolved.tsv	unresolved-ledger	No sequential same-absolute-executable-path control was captured; raw path-bearing output cannot be normalized under the phase rules.	Run WCH and OURS sequentially through the same absolute executable pathname without output normalization.	RESOLVED-EXACT	tmp/phase3f-evidence/matrix/identity-physical/results.tsv::OURS-V2	tmp/phase3f-evidence/matrix/identity-physical/results.tsv::OURS-V2	phase3c_status=UNRESOLVED;subject=L1-FEAT-IDENTITY;closure_event=P3F-EVENT-0021;Same absolute executable path control is raw-byte exact without normalization.;Historical obligation terminally adjudicated against the frozen V2 snapshot; any referenced GAP remains forwarded.
P3F-CLOSURE-0022	L1-FEAT-IDENTITY	UNRESOLVED-FEATURE	analysis/toolchain/phase3c-feature-coverage.tsv	unresolved-feature	Raw mandatory identity output is path-dependent; no same-absolute-executable-path sequential control exists, so exact behavior is not established	rerun equivalent four-side mandatory probes; publish final Phase 3f feature row	RECLASSIFIED-COVERED	analysis/toolchain/phase3f-feature-coverage-v2.tsv::L1-FEAT-IDENTITY	tmp/phase3f-evidence/matrix/identity-physical/results.tsv;tmp/phase3f-evidence/matrix/identity-physical/summary.json	mandatory=0/1;closure_event=P3F-EVENT-0022;The canonical V2 feature row is terminal with status COVERED-BEHAVIOR-EXACT and mandatory count 1/1.;A terminal GAP closes uncertainty but remains a byte-gate failure for later repair.
P3F-CLOSURE-0023	L2-FEAT-LTO	UNRESOLVED-FEATURE	analysis/toolchain/phase3c-feature-coverage.tsv	unresolved-feature	intermediate LTO serialization divergence not attributed; BIN comparison captured before external objcopy drift || L1-FEAT-LTO-OBJECT: serialization/metadata divergence handed to L2/L4; no broad claim	rerun equivalent four-side mandatory probes; publish final Phase 3f feature row	RECLASSIFIED-GAP	analysis/toolchain/phase3f-feature-coverage-v2.tsv::L2-FEAT-LTO	tmp/phase3f-evidence/agents/binary-analysis/lto-v2/README.md;tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/summary.json;tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/decl-main-diff-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/icf-field-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/unresolved-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/lto-v2/validation.json	mandatory=6/13;closure_event=P3F-EVENT-0642;The canonical V2 feature row is terminal with status GAP and mandatory count 6/13.;A terminal GAP closes uncertainty but remains a byte-gate failure for later repair.
P3F-CLOSURE-0024	L2-FEAT-QINGKE-CPU	UNRESOLVED-FEATURE	analysis/toolchain/phase3c-feature-coverage.tsv	unresolved-feature	visible help surface is identical but possible implicit tuning is not statically closed	rerun equivalent four-side mandatory probes; publish final Phase 3f feature row	RECLASSIFIED-COVERED	analysis/toolchain/phase3f-feature-coverage-v2.tsv::L2-FEAT-QINGKE-CPU	tmp/phase3f-evidence/agents/binary-analysis/tuning/formal-v1/summary.json;tmp/phase3f-evidence/agents/binary-analysis/tuning/formal-v1/comparisons.tsv;tmp/phase3f-evidence/agents/binary-analysis/tuning/formal-v1/surfaces.tsv;tmp/phase3f-evidence/agents/binary-analysis/tuning/full-static-summary.json;tmp/phase3f-evidence/agents/binary-analysis/tuning/wch-tune-table-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/tuning/wch-tune-pointer-fields-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/tuning/wch-vector-cost-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/tuning/wch-pipeline-model-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/tuning/wch-pipeline-generated-summary.json	mandatory=0/1;closure_event=P3F-EVENT-0993;The canonical V2 feature row is terminal with status COVERED-BEHAVIOR-EXACT and mandatory count 276/276.;A terminal GAP closes uncertainty but remains a byte-gate failure for later repair.
P3F-CLOSURE-0025	L4-FEAT-ARCHIVE	UNRESOLVED-FEATURE	analysis/toolchain/phase3c-feature-coverage.tsv	unresolved-feature	T0 OURS mandatory dynamic rows NOT-RUN	rerun equivalent four-side mandatory probes; publish final Phase 3f feature row	RECLASSIFIED-COVERED	analysis/toolchain/phase3f-feature-coverage-v2.tsv::L4-FEAT-ARCHIVE	tmp/phase3f-evidence/matrix/l4/probe-results.tsv;tmp/phase3f-evidence/matrix/l4-physical/attempts/attempt-1/probe-results.tsv	mandatory=0/3;closure_event=P3F-EVENT-0025;The canonical V2 feature row is terminal with status COVERED-BYTE-EXACT and mandatory count 3/3.;A terminal GAP closes uncertainty but remains a byte-gate failure for later repair.
P3F-CLOSURE-0026	L4-FEAT-ATTRIBUTES	UNRESOLVED-FEATURE	analysis/toolchain/phase3c-feature-coverage.tsv	unresolved-feature	T0 OURS mandatory dynamic rows NOT-RUN	rerun equivalent four-side mandatory probes; publish final Phase 3f feature row	RECLASSIFIED-COVERED	analysis/toolchain/phase3f-feature-coverage-v2.tsv::L4-FEAT-ATTRIBUTES	tmp/phase3f-evidence/matrix/l4/probe-results.tsv;tmp/phase3f-evidence/matrix/l4-physical/attempts/attempt-1/probe-results.tsv	mandatory=0/6;closure_event=P3F-EVENT-0026;The canonical V2 feature row is terminal with status COVERED-BYTE-EXACT and mandatory count 6/6.;A terminal GAP closes uncertainty but remains a byte-gate failure for later repair.
P3F-CLOSURE-0027	L4-FEAT-GCC-AUX	UNRESOLVED-FEATURE	analysis/toolchain/phase3c-feature-coverage.tsv	unresolved-feature	T0 OURS mandatory dynamic rows NOT-RUN	rerun equivalent four-side mandatory probes; publish final Phase 3f feature row	RECLASSIFIED-COVERED	analysis/toolchain/phase3f-feature-coverage-v2.tsv::L4-FEAT-GCC-AUX	tmp/phase3f-evidence/matrix/l4/probe-results.tsv;tmp/phase3f-evidence/matrix/l4-physical/attempts/attempt-1/probe-results.tsv	mandatory=0/3;closure_event=P3F-EVENT-0027;The canonical V2 feature row is terminal with status COVERED-BEHAVIOR-EXACT and mandatory count 3/3.;A terminal GAP closes uncertainty but remains a byte-gate failure for later repair.
P3F-CLOSURE-0028	L4-FEAT-LD-CORE	UNRESOLVED-FEATURE	analysis/toolchain/phase3c-feature-coverage.tsv	unresolved-feature	T0 OURS mandatory dynamic rows NOT-RUN	rerun equivalent four-side mandatory probes; publish final Phase 3f feature row	RECLASSIFIED-COVERED	analysis/toolchain/phase3f-feature-coverage-v2.tsv::L4-FEAT-LD-CORE	tmp/phase3f-evidence/matrix/l4/probe-results.tsv;tmp/phase3f-evidence/matrix/l4-physical/attempts/attempt-1/probe-results.tsv	mandatory=0/2;closure_event=P3F-EVENT-0028;The canonical V2 feature row is terminal with status COVERED-BYTE-EXACT and mandatory count 2/2.;A terminal GAP closes uncertainty but remains a byte-gate failure for later repair.
P3F-CLOSURE-0029	L4-FEAT-LTO-PLUGIN	UNRESOLVED-FEATURE	analysis/toolchain/phase3c-feature-coverage.tsv	unresolved-feature	T0 OURS mandatory dynamic rows NOT-RUN; full LTO object mismatch remains cross-lane	rerun equivalent four-side mandatory probes; publish final Phase 3f feature row	RECLASSIFIED-COVERED	analysis/toolchain/phase3f-feature-coverage-v2.tsv::L4-FEAT-LTO-PLUGIN	tmp/phase3f-evidence/matrix/l4/probe-results.tsv;tmp/phase3f-evidence/matrix/l4-physical/attempts/attempt-1/probe-results.tsv	mandatory=0/4;closure_event=P3F-EVENT-0029;The canonical V2 feature row is terminal with status COVERED-BYTE-EXACT and mandatory count 4/4.;A terminal GAP closes uncertainty but remains a byte-gate failure for later repair.
P3F-CLOSURE-0030	L4-FEAT-PACKAGING	UNRESOLVED-FEATURE	analysis/toolchain/phase3c-feature-coverage.tsv	unresolved-feature	dynamic T0 alias rows NOT-RUN despite static SDK closure	rerun equivalent four-side mandatory probes; publish final Phase 3f feature row	RECLASSIFIED-COVERED	analysis/toolchain/phase3f-feature-coverage-v2.tsv::L4-FEAT-PACKAGING	tmp/phase3f-evidence/matrix/l4/probe-results.tsv;tmp/phase3f-evidence/matrix/l4-physical/attempts/attempt-1/probe-results.tsv	mandatory=0/9;closure_event=P3F-EVENT-0030;The canonical V2 feature row is terminal with status COVERED-BYTE-EXACT and mandatory count 9/9.;A terminal GAP closes uncertainty but remains a byte-gate failure for later repair.
P3F-CLOSURE-0031	L4-FEAT-TOOLS	UNRESOLVED-FEATURE	analysis/toolchain/phase3c-feature-coverage.tsv	unresolved-feature	T0 OURS mandatory dynamic rows NOT-RUN	rerun equivalent four-side mandatory probes; publish final Phase 3f feature row	RECLASSIFIED-COVERED	analysis/toolchain/phase3f-feature-coverage-v2.tsv::L4-FEAT-TOOLS	tmp/phase3f-evidence/matrix/l4/probe-results.tsv;tmp/phase3f-evidence/matrix/l4-physical/attempts/attempt-1/probe-results.tsv	mandatory=0/12;closure_event=P3F-EVENT-0031;The canonical V2 feature row is terminal with status COVERED-BYTE-EXACT and mandatory count 12/12.;A terminal GAP closes uncertainty but remains a byte-gate failure for later repair.
