feature_id	component	source_anchor	wch_binary_anchor	static_delta	dynamic_probe	official_behavior	upstream_p2_behavior	upstream_matched_behavior	ours_behavior	existing_patch	evt_or_phase3b_coverage	status	cause	confidence	evidence_ids	observable_impact	ours_available	artifact_gate_applicable	mandatory_probes_passed	mandatory_probes_total	s_byte	o_byte	elf_byte	bin_byte
L2-FEAT-METADATA	GCC-CC1/CC1PLUS	ELF emission and DWARF	WCH object metadata	no dedicated patch	debug/no-debug and all object profiles	comment producer comp_dir attributes flags mapping inspected	P2 direct cc1 control available	NOT-RUN-LATE-AVAILABLE	WCH/OURS non-LTO object bytes equal; slim LTO objects scoped separately	three GCC patches	Phase3b not run	COVERED-BYTE-EXACT	tested metadata matches for non-LTO corpus	HIGH	L2-083-target-metadata,L2-084-mapping-symbol-counts,L2-075-matrix-result-audit	.comment DWARF attributes e_flags	true	true	31	31	NOT-APPLICABLE	EXACT	NOT-APPLICABLE	NOT-APPLICABLE
L2-FEAT-QINGKE-CPU	GCC-CC1	target processor tables	-Q --help=target	no WCH/QingKe CPU/tune addition	target option surface	no official compiler CPU profile established	upstream list only	NOT-RUN-LATE-AVAILABLE	WCH and OURS help output byte-identical; no WCH/QingKe name	no patch	Phase3b not run	UNRESOLVED	visible help surface is identical but possible implicit tuning is not statically closed	MEDIUM	L2-088-target-option-surface,L2-090-target-cpu-list	processor scheduling selection	true	false	0	1	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L2-FEAT-XDIAG	GCC-CC1/CC1PLUS/LTO1 || L1-FEAT-XDIAG: GCC-DRIVER	gcc/common/config/riscv/riscv-common.cc:riscv_subset_list::add || L1-FEAT-XDIAG: riscv_subset_list::add	unsupported non-standard111 extension || L1-FEAT-XDIAG: non-standard111 literal	one literal change || L1-FEAT-XDIAG: one literal patch	unknown_x123 || L1-FEAT-XDIAG: MARCH-10	exact WCH diagnostic includes non-standard111 || L1-FEAT-XDIAG: WCH diagnostic	upstream emits non-standard extension || L1-FEAT-XDIAG: upstream diagnostic	NOT-RUN-LATE-AVAILABLE || L1-FEAT-XDIAG: upstream diagnostic	exact stderr SHA equals WCH || L1-FEAT-XDIAG: exact WCH stderr	0002 GCC	Phase3b not run || L1-FEAT-XDIAG: Phase3b NOT-RUN	COVERED-BEHAVIOR-EXACT	literal match	HIGH	L2-050-static-patch-diff,L2-077-diagnostic-samples || L1-FEAT-XDIAG: L1-driver-probes-rerun2,L1-binary-anchor-offsets	diagnostic bytes	true	false	2	2	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L2-FEAT-XW	GCC-CC1/CC1PLUS/LTO1 || L1-FEAT-XW: GCC-DRIVER	gcc/common/config/riscv/riscv-common.cc:riscv_ext_version_table	WCH xw acceptance and __riscv_xw macros || L1-FEAT-XW: xw cstring and WCH acceptance	adds xw NONE 2.0 registration || L1-FEAT-XW: adds xw NONE 2.0	xw_bare,xw_2p0,xw_2p2,xw_with_d || L1-FEAT-XW: MARCH-01..14,PP-MACROS-XW	accept bare/explicit XW; bare defaults 2.0 || L1-FEAT-XW: accepts bounded bare/explicit XW surface	P2 direct cc1 rejects all four; driver also rejects via multilib || L1-FEAT-XW: rejects XW; ten startup multilib parser errors	NOT-RUN-LATE-AVAILABLE || L1-FEAT-XW: rejects XW as pristine control	byte-equal WCH on four tested WCH/OURS artifacts and macros || L1-FEAT-XW: WCH/OURS rc and stderr exact for all 14 cases	0001 GCC	Phase3b not run || L1-FEAT-XW: Phase3b NOT-RUN	COVERED-BYTE-EXACT	patch matches bounded acceptance/version surface || L1-FEAT-XW: source patch matches bounded acceptance surface	HIGH	L2-050-static-patch-diff,L2-080-direct-cc1-controls,L2-086-xw-version-surface-rerun || L1-FEAT-XW: L1-driver-probes-rerun2,L1-march-matrix-summary,L1-gcc-v-crosslane	march acceptance attributes macros || L1-FEAT-XW: march acceptance/macros/diagnostics	true	true	18	18	EXACT	EXACT	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-ATTRIBUTES	BINUTILS-GAS	gas/config/tc-riscv.c:riscv_set_public_attributes	march-attr string fileoff0xf2b2e and bounded policy probes	changes synthesis/rewrite policy	default-off,-march-attr,explicit literal,sticky/enable controls	default and -march-attr suppress attributes; explicit literal is preserved; XW enable/sticky behavior bounded	P2 synthesizes current attributes or rejects bare XW controls	MATCHED behavior follows P2	five-patch replay matches WCH policy/acceptance, but successful whole objects retain base mapping-version difference	0004 binutils	Phase3b NOT-RUN	GAP	Attribute policy itself matches; applicable object bytes differ through default ISA mapping symbol	HIGH	L3-140,L3-167-surface-wch-replay-compare	target-byte	true	true	5	5	NOT-APPLICABLE	DIFF	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-CUSTOM32	BINUTILS-GAS/BINUTILS-OBJDUMP	opcodes/riscv-opc.c:580-583;include/opcode/riscv-opc.h:2294-2300	as table vm=[0x100121190,0x100121270);objdump records vm=0x100150850..	adds mcpy/mrsl/mrslu/wexti with field/F5 parser	20,650 pairwise cases x 5 profiles x 4 executable sets	accepts 20,650 except RV32E legal-register subset 7,162; encodings follow formulas and disassemble exactly	P2 rejects all 103,250	MATCHED rejects all 103,250	frozen T0 matches all 103,250 acceptance/text/decode decisions; rv32e whole object exact, four other profile objects differ in mapping base version	0003 binutils	Phase3b NOT-RUN	GAP	Custom encodings are exact but applicable .o byte gate fails in four of five default profiles	HIGH	L3-048,L3-110,L3-136,L3-171-matched-custom32	target-byte	true	true	103250	103250	NOT-APPLICABLE	DIFF	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-DCXW-PRIORITY	BINUTILS-OBJDUMP	bfd/elfxx-riscv.c:2857;opcodes/riscv-dis.c:1019-1021	WCH disassembler function/table anchors	frozen five-patch source disables Zcd when xw and then skips XW class	D+C+XW x default/no-aliases x 65,536 words	WCH/P2 decode 0x2000-run as fld/c.fld and 0xa000-run as fsd/c.fsd	P2 equals WCH on the 8,192 collision words per mode except independent 66 custom32 words	MATCHED ordered output equals P2	frozen T0 emits .insn for exactly 0x2000..0x3ffe step2 and 0xa000..0xbffe step2: 8,192 mismatches/mode	0002 binutils interaction	Phase3b NOT-RUN	GAP	Decoder priority/class gating contradicts official objdump behavior for frozen T0	HIGH	L3-053,L3-057,L3-066,L3-115,L3-172-matched-halfword,R1-A-STRICT	functional	true	false	114688	131072	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-DEFAULT-ISA-SPEC	BINUTILS-GAS	GAS default ISA spec selection	mapping symbol strings observed dynamically	five WCH patches do not align base default versions	5 default profile objects plus 3 explicit -misa-spec=2.2 controls	WCH defaults to i2p0/a2p0; rv32e e1p9; explicit 2.2 unchanged	P2 defaults to i2p1/a2p1; explicit 2.2 control aligns base fields	MATCHED follows P2 default source behavior	replay defaults i2p1/a2p1; rv32e and all three explicit 2.2 controls exact; four default profiles differ	no dedicated frozen patch	Phase3b NOT-RUN	GAP	CONFIGURE/CAPABILITY or build default; bounded explicit option proves encoding patches are not the cause	HIGH	L3-136,L3-138,L3-139,L3-141	target-byte	true	true	4	8	NOT-APPLICABLE	DIFF	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-DELAY-VISIBLE	BINUTILS-GAS/BINUTILS-OBJDUMP	generic .insn path; no delay mnemonic table	no standalone delay mnemonic found	no WCH-specific source delta established	mnemonic negative plus .insn 4,0x0000100b	WCH rejects delay mnemonic and accepts generic bytes	P2 same visible acceptance	MATCHED same visible acceptance	replay same visible acceptance and .text; hardware semantics intentionally not inferred	no patch	Phase3b NOT-RUN	UPSTREAM-IDENTICAL	Tool-visible bounded behavior is not evidence of delay hardware semantics	MEDIUM	L3-140,L3-173-matched-surface	functional	true	false	2	2	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-OBJDUMP-HALFWORD	BINUTILS-OBJDUMP	opcodes/riscv-dis.c:riscv_disassemble_insn;opcodes/riscv-opc.c:riscv_opcodes	WCH disassembler [0x100041074,0x10004153c) and opcode records	adds WCH custom/XW decode namespace	standard-C,XW,Zcb x default/no-aliases x 65,536 words	WCH decode profiles captured without missing word; custom32/XW namespace differs from upstream	P2 differs from WCH by 66 words/profile/mode	MATCHED ordered decode records exactly equal P2 in all eight profile/mode cells	frozen T0 exactly equals WCH for standard-C,XW,Zcb in both modes: 393,216/393,216	0002+0003 binutils	Phase3b NOT-RUN	COVERED-BEHAVIOR-EXACT	Standard-C, XW, and Zcb profiles are exact; all D+C+XW rows were mechanically reassigned to the dedicated DCXW priority GAP	HIGH	L3-053,L3-124,L3-126,L3-172-matched-halfword,R1-A-STRICT	functional	true	false	393216	393216	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-OPCODE-NAMESPACE	BINUTILS-GAS/BINUTILS-OBJDUMP	opcode/extension name universe	WCH standalone xw,mcpy,wexti,mrslu,mrsl,c.lbusp strings and table xrefs	WCH-only XW/custom namespace versus exact upstream	5x8704 XW plus 5x20650 custom32 cases/set and exhaustive halfword decode	WCH exposes XW and four custom32 names with proven table records	P2 standalone names absent and rejects both corpora	MATCHED standalone names absent and rejects both corpora	frozen T0/replay expose all names and match target .text/decode except separately tracked D+C+XW priority; .o base mapping remains different	0001+0002+0003 binutils	Phase3b NOT-RUN	GAP	Namespace implementation is dynamically covered, but applicable successful objects inherit default ISA mapping byte gap	HIGH	L3-045,L3-048,L3-091,L3-114,L3-132,L3-170-matched-xw,L3-171-matched-custom32	target-byte	true	true	146770	146770	NOT-APPLICABLE	DIFF	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-RELAXATION	BINUTILS-GAS	upstream relocation relaxation	WCH bounded relocation output	no dedicated WCH patch	default relax and .option norelax controls	default produces two R_RISCV_RELAX; norelax produces none	P2 relocation behavior matches	MATCHED relocation behavior matches	replay relocation behavior and .text match; whole default objects differ through mapping versions	no patch	Phase3b NOT-RUN	GAP	Applicable .o byte gate fails despite exact bounded relocation semantics	HIGH	L3-140,L3-167-surface-wch-replay-compare	target-byte	true	true	2	2	NOT-APPLICABLE	DIFF	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-XW-ARCH	BINUTILS-GAS	bfd/elfxx-riscv.c:riscv_supported_vendor_x_ext	as xw record vm=0x10015a168	adds xw draft default 2.2.0	5 labels x 8,704 cases/set plus bounded negatives	accepts xw,xw1p0,xw2p0,xw2p2,xw3p0 and all legal XW operands	both exact upstream controls reject every 43,520 label-case	UPSTREAM-MATCHED rejects every 43,520 label-case	frozen T0 accepts all; replay matches targeted acceptance; whole default objects differ in base mapping versions	0001 binutils	Phase3b NOT-RUN	GAP	XW acceptance is covered but target-object byte gate fails through L3-FEAT-DEFAULT-ISA-SPEC	HIGH	L3-045,L3-140,L3-170-matched-xw	target-byte	true	true	43520	43520	NOT-APPLICABLE	DIFF	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-XW-ASSEMBLY	BINUTILS-GAS	opcodes/riscv-opc.c:603-650,2301-2323;include/opcode/riscv-opc.h:2277-2292	as c.lbu/c.lbusp records vm=0x100135c88/0x100129380	8 explicit forms plus ordinary aliases and operand encoders	8,704 legal cases x 5 labels x 4 executable sets	WCH accepts and emits canonical stream sha256 a6ac4731...; form counts 2048x4 plus128x4	P2 rejects all 43,520	MATCHED rejects all 43,520	frozen T0 emits exact .text for all 43,520; no encoding/classification mismatch; whole objects differ by base mapping versions	0002 binutils	Phase3b NOT-RUN	GAP	Instruction bytes/acceptance exact; mapping-symbol base ISA default makes applicable .o bytes differ	HIGH	L3-045,L3-144,L3-170-matched-xw	target-byte	true	true	43520	43520	NOT-APPLICABLE	DIFF	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-XW-DIAGNOSTICS	BINUTILS-GAS	gas/config/tc-riscv.c:riscv_ip	WCH riscv_ip [0x100032b7c,0x100038304) dual xrefs to illegal-operands/unrecognized-opcode	XW operand/option error-class selection	7 error controls: missing C/XW, explicit bounds, norvc explicit, option arch/push-pop as constructed	WCH exact diagnostics captured	P2 uses upstream namespace and differs on XW-specific paths	MATCHED follows P2 content; late raw hashes embed a different absolute work path	replay raw stderr equals WCH in 4/7, but differs in no-xw,norvc-explicit,option-arch-enable: illegal operands versus unrecognized opcode	0001+0002 binutils	Phase3b NOT-RUN	GAP	FUNCTIONAL-CODE diagnostic precedence within riscv_ip; exact predicate delta not closed	HIGH-DYNAMIC/MEDIUM-STATIC	L3-129,L3-131,L3-140,L3-195-diagnostic-diff-audit	functional	true	false	4	7	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-XW-MAPPING	BINUTILS-GAS	mapping-symbol ISA serialization	WCH mapping $x...i2p0...a2p0...xw2p2	bare xw suffix defaults to xw2p2	5 exhaustive labels plus bare/explicit targeted controls	bare xw suffix is xw2p2; explicit version suffixes pass through; base default is ISA spec 2.2	P2 rejects bare XW; explicit current-base mappings differ	MATCHED same source behavior as P2	frozen T0/replay XW suffix matches WCH but full mapping is $x...i2p1...a2p1... under default	0005 binutils	Phase3b NOT-RUN	GAP	Patch closes XW suffix only; full mapping-symbol/object byte gate remains different	HIGH	L3-045,L3-136,L3-139,L3-141	target-byte	true	true	0	5	NOT-APPLICABLE	DIFF	NOT-APPLICABLE	NOT-APPLICABLE
L4-FEAT-ARCHIVE	AR/RANLIB	upstream archive tools	published executables	no source delta	AR-REBUILD,AR-TABLE,RANLIB-INDEX	deterministic archive table/rebuild/index	bounded artifacts exact	bounded artifacts exact	T0 original unavailable; replay exact	none	Phase3b NOT-RUN at T0	UNRESOLVED	T0 OURS mandatory dynamic rows NOT-RUN	HIGH	L4-052,L4-075,L4-077,L4-078	archive bytes	false	true	0	3	NOT-APPLICABLE	NOT-RUN	NOT-APPLICABLE	NOT-APPLICABLE
L4-FEAT-ATTRIBUTES	BINUTILS-LD/BFD/READELF	bfd/elfxx-riscv.c	XW attributes	xw 2.2 support table	LD-ATTR-XW-COPY,LD-ATTR-XW-MERGE,LD-ATTR-XW-MERGE-REVERSE,LD-ATTR-XW-VERSION-MERGE,READELF-ATTRS,READELF-XW-ATTRS	XW copy/merge/version merge succeeds	same bounded target artifacts	same bounded target artifacts	T0 original NOT-AVAILABLE; replay exact	binutils 0001 plus shared BFD row	Phase3b NOT-RUN at T0	UNRESOLVED	T0 OURS mandatory dynamic rows NOT-RUN	HIGH	L4-052,L4-075,L4-077,L4-078	ELF attributes	false	true	0	6	NOT-APPLICABLE	NOT-RUN	NOT-APPLICABLE	NOT-APPLICABLE
L4-FEAT-ELFEDIT-MMAP	BINUTILS-ELFEDIT	elfedit.c HAVE_MMAP	mmap imports/x86 feature options	WCH configured HAVE_MMAP; controls not	ELFEDIT-X86-FEATURE	help exposes options; accepts option rc0	option absent/rejected	option absent/rejected	T0 original unavailable; replay absent/rejected	none	Phase3b NOT-RUN at T0	GAP	CONFIGURE/CAPABILITY	HIGH	L4-052,L4-075,L4-077,L4-078	elfedit option/diagnostic and x86 GNU property editing	false	true	0	1	NOT-APPLICABLE	NOT-RUN	NOT-APPLICABLE	NOT-APPLICABLE
L4-FEAT-GCC-AUX	GCOV/COLLECT2/GENGTYPE	upstream GCC tools	published executables	no feature-specific delta	COLLECT2-VERSION,GCOV-DUMP-VERSION,GCOV-TOOL-VERSION,GCOV-VERSION,GENGTYPE-HELP	bounded version/help surface	bounded control	bounded control	T0 original unavailable	GCC frozen patches unrelated	Phase3b NOT-RUN at T0	UNRESOLVED	T0 OURS mandatory dynamic rows NOT-RUN	HIGH	L4-052,L4-075,L4-077,L4-078	auxiliary tool behavior	false	false	0	3	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L4-FEAT-LD-CORE	BINUTILS-LD	upstream ld; no frozen patch delta	ld executable/script/help	no ld source delta	LD-RELOCATABLE,LD-VERSION	bounded link/layout/gc/relax/group operations succeed	same target artifacts on non-zstd corpus	same except SEARCH_DIR prefix literal	T0 original NOT-AVAILABLE; replay exact on bounded artifacts	none	Phase3b NOT-RUN at T0	UNRESOLVED	T0 OURS mandatory dynamic rows NOT-RUN	HIGH	L4-052,L4-075,L4-077,L4-078	ELF/linker behavior	false	true	0	2	NOT-APPLICABLE	NOT-APPLICABLE	NOT-RUN	NOT-APPLICABLE
L4-FEAT-LTO-PLUGIN	GCC LTO plugin/wrappers	upstream GCC auxiliary tools	plugin/tool executables	no feature-specific static delta found	GCC-AR-TABLE,GCC-NM-OBJECT,GCC-RANLIB-INDEX,LTO-DUMP-VERSION,LTO-WRAPPER-HELP,NM-LTO-PLUGIN-LOAD	wrapper/archive/nm bounded surface	bounded non-LTO corpus behavior	bounded non-LTO corpus behavior	T0 original unavailable; replay bounded behavior	GCC frozen patches unrelated	Phase3b NOT-RUN at T0	UNRESOLVED	T0 OURS mandatory dynamic rows NOT-RUN; full LTO object mismatch remains cross-lane	HIGH	L4-052,L4-075,L4-077,L4-078	plugin routing/wrappers	false	true	0	4	NOT-APPLICABLE	NOT-RUN	NOT-APPLICABLE	NOT-APPLICABLE
L4-FEAT-PACKAGING	aliases/plugin SDK	package inventory	602-path ledger	551 byte-exact SDK files; 16 dirs; aliases	LD-BFD-VERSION,TARGET-AR-TABLE,TARGET-LD-BFD-VERSION,TARGET-LD-VERSION,TARGET-NM,TARGET-OBJCOPY-COPY,TARGET-RANLIB-INDEX,TARGET-READELF-ATTRS,TARGET-STRIP-DEBUG	target aliases execute bounded operations	bounded controls	bounded controls	T0 original unavailable; 551 paths frozen byte exact	none	Phase3b NOT-RUN at T0	UNRESOLVED	dynamic T0 alias rows NOT-RUN despite static SDK closure	HIGH	L4-052,L4-075,L4-077,L4-078	published paths/plugins	false	true	0	9	NOT-APPLICABLE	NOT-RUN	NOT-APPLICABLE	NOT-APPLICABLE
