audit_id	semantic_finding_id	source_family	prior_classification	constructibility	fixture	O0_assembly	O0_object	O2_assembly	O2_object	Os_assembly	Os_object	final_verdict	compiler_gate_effect	residual_risk_verdict	change_from_phase3c	reason	evidence_pointer
L2-ERR-011	SEM-DOC-5005077C54BE225420A2	06C-DOCUMENT	HARDWARE/DOCUMENT-ONLY	NOT-APPLICABLE	-	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NO-COMPILER-PROBE	NOT-APPLICABLE	HARDWARE/DOCUMENT-ONLY->INDIVIDUALLY-NOT-APPLICABLE	Compiler input has no lot-number selector and cannot prove whether a physical PMP or trigger block is present; emitting PMP-related code would test an explicit ISA choice, not this lot condition.	tmp/phase3f-evidence/agents/binary-analysis/errata/fixture-plan.tsv::L2-ERR-011
L2-ERR-012	SEM-DOC-D51C4EA4BFF602D757DB	06C-DOCUMENT	HARDWARE/DOCUMENT-ONLY	NOT-APPLICABLE	-	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NO-COMPILER-PROBE	NOT-APPLICABLE	HARDWARE/DOCUMENT-ONLY->INDIVIDUALLY-NOT-APPLICABLE	Instruction-versus-data reachability of a memory-mapped QSPI window is a linker/runtime placement constraint with no GCC target selector or clean expression-level trigger.	tmp/phase3f-evidence/agents/binary-analysis/errata/fixture-plan.tsv::L2-ERR-012
L2-ERR-013	SEM-DOC-E8AE55B8922C5EF977C6	06C-DOCUMENT	HARDWARE/DOCUMENT-ONLY	NOT-APPLICABLE	-	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NO-COMPILER-PROBE	NOT-APPLICABLE	HARDWARE/DOCUMENT-ONLY->INDIVIDUALLY-NOT-APPLICABLE	This is a peripheral register-programming precondition; GCC cannot infer peripheral mode, lot number, or a required PL value from a language operation.	tmp/phase3f-evidence/agents/binary-analysis/errata/fixture-plan.tsv::L2-ERR-013
L2-ERR-014	SEM-DOC-0445F8987FDF04A32FCE	06C-DOCUMENT	HARDWARE/DOCUMENT-ONLY	NOT-APPLICABLE	-	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NO-COMPILER-PROBE	NOT-APPLICABLE	HARDWARE/DOCUMENT-ONLY->INDIVIDUALLY-NOT-APPLICABLE	Unused-pin selection and analog-input configuration are board/runtime policy, not compiler semantics, and no lot selector is exposed by the compiler.	tmp/phase3f-evidence/agents/binary-analysis/errata/fixture-plan.tsv::L2-ERR-014
L2-ERR-015	SEM-DOC-273BE0CCE8834FC9182B	06C-DOCUMENT	HARDWARE/DOCUMENT-ONLY	NOT-APPLICABLE	-	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NO-COMPILER-PROBE	NOT-APPLICABLE	HARDWARE/DOCUMENT-ONLY->INDIVIDUALLY-NOT-APPLICABLE	An external pull-up is a board-level electrical requirement that cannot be represented as a compiler transformation or validated by target code bytes.	tmp/phase3f-evidence/agents/binary-analysis/errata/fixture-plan.tsv::L2-ERR-015
L2-ERR-016	SEM-DOC-A77B9EA94FAD32E2B62D	06C-DOCUMENT	HARDWARE/DOCUMENT-ONLY	NOT-APPLICABLE	-	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NO-COMPILER-PROBE	NOT-APPLICABLE	HARDWARE/DOCUMENT-ONLY->INDIVIDUALLY-NOT-APPLICABLE	SPI clock-divisor policy depends on device lot and peripheral state; GCC has neither that selector nor a language-level SPI operation.	tmp/phase3f-evidence/agents/binary-analysis/errata/fixture-plan.tsv::L2-ERR-016
L2-ERR-017	SEM-DOC-029FAD647617FFC29C1B	06C-DOCUMENT	HARDWARE/DOCUMENT-ONLY	NOT-APPLICABLE	-	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NO-COMPILER-PROBE	NOT-APPLICABLE	HARDWARE/DOCUMENT-ONLY->INDIVIDUALLY-NOT-APPLICABLE	The finding constrains physical memory-window capability by lot; compiling vector code cannot establish where it executes or whether DMA64 exists and would not test this predicate.	tmp/phase3f-evidence/agents/binary-analysis/errata/fixture-plan.tsv::L2-ERR-017
L2-ERR-018	SEM-DOC-0E7F21069095DDE6CCF4	06C-DOCUMENT	HARDWARE/DOCUMENT-ONLY	NOT-APPLICABLE	-	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NO-COMPILER-PROBE	NOT-APPLICABLE	HARDWARE/DOCUMENT-ONLY->INDIVIDUALLY-NOT-APPLICABLE	Clock-tree block availability is a silicon/lot capability and has no compiler option, attribute, or source operation that requests an automatic transform.	tmp/phase3f-evidence/agents/binary-analysis/errata/fixture-plan.tsv::L2-ERR-018
L2-ERR-019	SEM-DOC-8E2735B43BA74C6E6E3A	06C-DOCUMENT	HARDWARE/DOCUMENT-ONLY	NOT-APPLICABLE	-	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NO-COMPILER-PROBE	NOT-APPLICABLE	HARDWARE/DOCUMENT-ONLY->INDIVIDUALLY-NOT-APPLICABLE	Boot/download-tool capability is outside compiler code generation and cannot be exercised by a clean C translation unit.	tmp/phase3f-evidence/agents/binary-analysis/errata/fixture-plan.tsv::L2-ERR-019
L2-ERR-020	SEM-DOC-F2F11E1CEB0DBCC8AF4B	06C-DOCUMENT	HARDWARE/DOCUMENT-ONLY	NOT-APPLICABLE	-	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NO-COMPILER-PROBE	NOT-APPLICABLE	HARDWARE/DOCUMENT-ONLY->INDIVIDUALLY-NOT-APPLICABLE	CC pin mode is explicit peripheral/board configuration and the compiler has no CHIPID-to-pin-policy selector.	tmp/phase3f-evidence/agents/binary-analysis/errata/fixture-plan.tsv::L2-ERR-020
L2-ERR-021	SEM-DOC-5F868C97ECF5BC84B3C3	06C-DOCUMENT	HARDWARE/DOCUMENT-ONLY	NOT-APPLICABLE	-	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NO-COMPILER-PROBE	NOT-APPLICABLE	HARDWARE/DOCUMENT-ONLY->INDIVIDUALLY-NOT-APPLICABLE	The documented failure and EVT workaround are peripheral protocol/runtime behavior; GCC cannot observe IBI data presence or lot number and no compiler hook is specified.	tmp/phase3f-evidence/agents/binary-analysis/errata/fixture-plan.tsv::L2-ERR-021
L2-ERR-022	SEM-DOC-628D4278C3B0DD149214	06C-DOCUMENT	HARDWARE/DOCUMENT-ONLY	NOT-APPLICABLE	-	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NO-COMPILER-PROBE	NOT-APPLICABLE	HARDWARE/DOCUMENT-ONLY->INDIVIDUALLY-NOT-APPLICABLE	DMA descriptor placement and crossing behavior are linker/runtime allocation constraints with no automatic GCC selector for the documented lot predicate.	tmp/phase3f-evidence/agents/binary-analysis/errata/fixture-plan.tsv::L2-ERR-022
L2-ERR-023	SEM-REV-WCH-005	06C-RUNTIME	NO-GCC-EVIDENCE	CONSTRUCTIBLE	fixtures/L2-ERR-023-phy10m-clean.c	EXACT	EXACT	EXACT	EXACT	EXACT	EXACT	NO-GAP-OBSERVED	NON-BLOCKING-BOUNDED-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->PER-FINDING-BOUNDED-NO-GAP-OBSERVED	No WCH-only MAC reset, descriptor rewrite, retry loop, polarity toggle, or barrier is inserted.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-023;tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/results.tsv::L2-ERR-023
L2-ERR-024	SEM-REV-WCH-012	06C-RUNTIME	NO-GCC-EVIDENCE	CONSTRUCTIBLE	fixtures/L2-ERR-024-usbss-clean.c	EXACT	EXACT	EXACT	EXACT	EXACT	EXACT	NO-GAP-OBSERVED	NON-BLOCKING-BOUNDED-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->PER-FINDING-BOUNDED-NO-GAP-OBSERVED	No WCH-only RX_SET_FC enable, SET_LINK_FUNC branch, or U1/U2 state update is inserted.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-024;tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/results.tsv::L2-ERR-024
L2-ERR-025	SEM-REV-WCH-006	06C-RUNTIME	NO-GCC-EVIDENCE	CONSTRUCTIBLE	fixtures/L2-ERR-025-rbu-clean.c	EXACT	EXACT	EXACT	EXACT	EXACT	EXACT	NO-GAP-OBSERVED	NON-BLOCKING-BOUNDED-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->PER-FINDING-BOUNDED-NO-GAP-OBSERVED	No WCH-only next-descriptor OWN store, DMA restart, retry, or barrier is inserted.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-025;tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/results.tsv::L2-ERR-025
L2-ERR-026	SEM-REV-WCH-009	06C-RUNTIME	NO-GCC-EVIDENCE	CONSTRUCTIBLE	fixtures/L2-ERR-026-adc-calibration-clean.c	EXACT	EXACT	EXACT	EXACT	EXACT	EXACT	NO-GAP-OBSERVED	NON-BLOCKING-BOUNDED-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->PER-FINDING-BOUNDED-NO-GAP-OBSERVED	No WCH-only calibration-disable write or helper call is inserted after completion.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-026;tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/results.tsv::L2-ERR-026
L2-ERR-027	SEM-REV-WCH-010	06C-RUNTIME	NO-GCC-EVIDENCE	CONSTRUCTIBLE	fixtures/L2-ERR-027-emmc-gpio-clean.c	EXACT	EXACT	EXACT	EXACT	EXACT	EXACT	NO-GAP-OBSERVED	NON-BLOCKING-BOUNDED-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->PER-FINDING-BOUNDED-NO-GAP-OBSERVED	No WCH-only SWPMI clock enable or OR-bit write is inserted before GPIO access.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-027;tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/results.tsv::L2-ERR-027
L2-ERR-028	SEM-REV-WCH-011	06C-RUNTIME	NO-GCC-EVIDENCE	CONSTRUCTIBLE	fixtures/L2-ERR-028-stop-mode-clean.c	EXACT	EXACT	EXACT	EXACT	EXACT	EXACT	NO-GAP-OBSERVED	NON-BLOCKING-BOUNDED-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->PER-FINDING-BOUNDED-NO-GAP-OBSERVED	No WCH-only three-way revision policy or regulator programming sequence is inserted.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-028;tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/results.tsv::L2-ERR-028
L2-ERR-029	SEM-REV-WCH-004	06C-RUNTIME	NO-GCC-EVIDENCE	CONSTRUCTIBLE	fixtures/L2-ERR-029-rgmii-delay-clean.c	EXACT	EXACT	EXACT	EXACT	EXACT	EXACT	NO-GAP-OBSERVED	NON-BLOCKING-BOUNDED-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->PER-FINDING-BOUNDED-NO-GAP-OBSERVED	No WCH-only revision branch changing delay pairs from 0,4 to 1,2 is inserted.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-029;tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/results.tsv::L2-ERR-029
L2-ERR-030	SEM-REV-WCH-001	06C-RUNTIME	NO-GCC-EVIDENCE	CONSTRUCTIBLE	fixtures/L2-ERR-030-can-v30-clean.c	EXACT	EXACT	EXACT	EXACT	EXACT	EXACT	NO-GAP-OBSERVED	NON-BLOCKING-BOUNDED-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->PER-FINDING-BOUNDED-NO-GAP-OBSERVED	No WCH-only RCC reset, filter cleanup, bus-state loop, or extra ordering primitive is inserted.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-030;tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/results.tsv::L2-ERR-030
L2-ERR-031	SEM-REV-WCH-002	06C-RUNTIME	NO-GCC-EVIDENCE	CONSTRUCTIBLE	fixtures/L2-ERR-031-timer-clean.c	EXACT	EXACT	EXACT	EXACT	EXACT	EXACT	NO-GAP-OBSERVED	NON-BLOCKING-BOUNDED-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->PER-FINDING-BOUNDED-NO-GAP-OBSERVED	No WCH-only CTLR1 bit13 set is inserted for TIM1, TIM8, TIM9, or TIM10.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-031;tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/results.tsv::L2-ERR-031
L2-ERR-032	SEM-REV-WCH-007	06C-RUNTIME	NO-GCC-EVIDENCE	CONSTRUCTIBLE	fixtures/L2-ERR-032-can-h417-clean.c	EXACT	EXACT	EXACT	EXACT	EXACT	EXACT	NO-GAP-OBSERVED	NON-BLOCKING-BOUNDED-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->PER-FINDING-BOUNDED-NO-GAP-OBSERVED	No WCH-only three-controller RCC reset, filter cleanup, bus-state loop, or ordering primitive is inserted.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-032;tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/results.tsv::L2-ERR-032
L2-ERR-033	SEM-REV-WCH-008	06C-RUNTIME	NO-GCC-EVIDENCE	CONSTRUCTIBLE	fixtures/L2-ERR-033-gpio-unused-clean.c	EXACT	EXACT	EXACT	EXACT	EXACT	EXACT	NO-GAP-OBSERVED	NON-BLOCKING-BOUNDED-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->PER-FINDING-BOUNDED-NO-GAP-OBSERVED	No WCH-only SWPMI clock enable, OR-bit write, model switch, or revision mask is inserted.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-033;tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/results.tsv::L2-ERR-033
L2-ERR-034	SEM-REV-WCH-003	06C-RUNTIME	NO-GCC-EVIDENCE	CONSTRUCTIBLE	fixtures/L2-ERR-034-ethernet-status-clean.c	EXACT	EXACT	EXACT	EXACT	EXACT	EXACT	NO-GAP-OBSERVED	NON-BLOCKING-BOUNDED-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->PER-FINDING-BOUNDED-NO-GAP-OBSERVED	No WCH-only zero-status retry, duplicate suppression, MAC rebuild, DMA recovery, or barrier is inserted.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-034;tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/results.tsv::L2-ERR-034
L2-ERR-035	SEM-ISA-MCPY	RESEARCH	NO-GCC-EVIDENCE	CONSTRUCTIBLE	fixtures/L2-ERR-035-mcpy-idiom.c	EXACT	EXACT	EXACT	EXACT	EXACT	EXACT	NO-GAP-OBSERVED	NON-BLOCKING-BOUNDED-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->PER-FINDING-BOUNDED-NO-GAP-OBSERVED	No WCH-only mcpy instruction is selected by GCC from ordinary C copying.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-035;tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/results.tsv::L2-ERR-035
L2-ERR-036	SEM-PROC-DELAY	RESEARCH	BINUTILS-ONLY	CONSTRUCTIBLE	fixtures/L2-ERR-036-delay-idiom.c	EXACT	EXACT	EXACT	EXACT	EXACT	EXACT	NO-GAP-OBSERVED	NON-BLOCKING-BOUNDED-PROBE	NOT-APPLICABLE	BINUTILS-ONLY->PER-FINDING-BOUNDED-NO-GAP-OBSERVED	No WCH-only custom delay instruction or mimpid-dependent sequence is selected by GCC.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-036;tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/results.tsv::L2-ERR-036
L2-ERR-037	SEM-ISA-XW-CONFLICT	RESEARCH	GCC-FEATURE-NOT-ERRATUM	CONSTRUCTIBLE	fixtures/L2-ERR-037-xw-load-store.c	EXACT	EXACT	EXACT	EXACT	EXACT	EXACT	NO-GAP-OBSERVED	NON-BLOCKING-BOUNDED-PROBE	NOT-APPLICABLE	GCC-FEATURE-NOT-ERRATUM->PER-FINDING-BOUNDED-NO-GAP-OBSERVED	WCH and OURS-V2 select the same target instructions; no finding-specific automatic workaround is inserted.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-037;tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/results.tsv::L2-ERR-037
L2-ERR-038	SEM-PROC-VECTOR	RESEARCH	UNRESOLVED	CONSTRUCTIBLE	fixtures/L2-ERR-038-vector-call-abi.c	DIFFERENT	DIFFERENT	DIFFERENT	DIFFERENT	DIFFERENT	DIFFERENT	GAP	BLOCKING-BACKEND-BYTE-MISMATCH	RULED-OUT-OF-GATE	UNRESOLVED->GAP	WCH emits no vector saves for the non-leaf WCH-Interrupt-fast handler, while OURS-V2 saves/restores v0-v31 in all three optimization cells. O2 GIMPLE is exact, localizing the mismatch after GIMPLE to backend frame/prologue handling. Hardware vector/HPE nesting safety remains a separate compile-unobservable residual risk and does not excuse the compiler GAP.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-038;tmp/phase3f-evidence/agents/binary-analysis/errata/v2-audit/source-anchor-ledger.tsv
L2-ERR-039	SEM-PROC-FAST-IRQ	RESEARCH	GCC-FEATURE-NOT-ERRATUM	CONSTRUCTIBLE	fixtures/L2-ERR-039-fastirq-generation.c	EXACT	EXACT	EXACT	EXACT	EXACT	EXACT	NO-GAP-OBSERVED	NON-BLOCKING-BOUNDED-PROBE	NOT-APPLICABLE	GCC-FEATURE-NOT-ERRATUM->PER-FINDING-BOUNDED-NO-GAP-OBSERVED	WCH and OURS-V2 emit identical bounded prologue, epilogue, FPR/FCSR handling, and return; generation-specific hardware state is not inferred.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-039;tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/results.tsv::L2-ERR-039
L2-ERR-040	SEM-PROC-WFI-WFE	RESEARCH	NO-GCC-EVIDENCE	CONSTRUCTIBLE	fixtures/L2-ERR-040-wait-loop-clean.c	EXACT	EXACT	EXACT	EXACT	EXACT	EXACT	NO-GAP-OBSERVED	NON-BLOCKING-BOUNDED-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->PER-FINDING-BOUNDED-NO-GAP-OBSERVED	No WCH-only wfi, WFE, PFIC configuration, or wait instruction is inserted.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-040;tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/results.tsv::L2-ERR-040
