feature_id	component	source_anchor	wch_binary_anchor	static_delta	dynamic_probe	official_behavior	upstream_p2_behavior	upstream_matched_behavior	ours_behavior	existing_patch	evt_or_phase3b_coverage	status	cause	confidence	evidence_ids	observable_impact	ours_available	artifact_gate_applicable	mandatory_probes_passed	mandatory_probes_total	s_byte	o_byte	elf_byte	bin_byte
L2-FEAT-METADATA	GCC-CC1/CC1PLUS	ELF emission and DWARF	WCH object metadata	no dedicated patch	debug/no-debug and all object profiles	comment producer comp_dir attributes flags mapping inspected	P2 direct cc1 control available	direct matched backend control executed and is exact	all tested non-LTO object metadata remains byte-exact; slim-LTO metadata/serialization is scoped to L2-FEAT-LTO	three GCC patches	Phase3b not run	COVERED-BYTE-EXACT	tested metadata matches for non-LTO corpus	HIGH	tmp/phase3f-evidence/matrix/backend/matrix/comparisons.tsv;tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/summary.json	.comment DWARF attributes e_flags	true	true	31	31	NOT-APPLICABLE	EXACT	NOT-APPLICABLE	NOT-APPLICABLE
L2-FEAT-QINGKE-CPU	GCC-CC1	target processor tables	-Q --help=target	no WCH/QingKe CPU/tune addition	66 selector states x 2 fixtures x O2/Os x four sides plus six target params x O2/Os x four sides	complete selectable upstream 11-tune/18-CPU surface only; no QingKe/WCH/CH32 selector or implicit generation selector	same selector/parameter acceptance and code generation	same selector/parameter acceptance and code generation	1056 selector compile rows and 48 param rows meet expectations; WCH-versus-V2 rc/stdout/stderr/assembly is 276/276 exact; full static graph is exact for 11 tune-table rows, nine 72-byte tune-param objects, four vector-cost components, 27 NULL alignment pointers, and 11 pipeline enums; generated reservation vocabulary is 67/67 present on both sides	no patch	Phase3b not run	COVERED-BEHAVIOR-EXACT	bounded complete selectable source/table/pointer/pipeline graph plus codegen evidence excludes an implicit QingKe/WCH/CH32 tuning profile; this does not assert whole-binary DFA arrays byte-identical; WCH-only generic params remain separate Phase-3f findings	HIGH	tmp/phase3f-evidence/agents/binary-analysis/tuning/formal-v1/summary.json;tmp/phase3f-evidence/agents/binary-analysis/tuning/formal-v1/comparisons.tsv;tmp/phase3f-evidence/agents/binary-analysis/tuning/formal-v1/surfaces.tsv;tmp/phase3f-evidence/agents/binary-analysis/tuning/full-static-summary.json;tmp/phase3f-evidence/agents/binary-analysis/tuning/wch-tune-table-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/tuning/wch-tune-pointer-fields-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/tuning/wch-vector-cost-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/tuning/wch-pipeline-model-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/tuning/wch-pipeline-generated-summary.json	processor scheduling selection	true	false	276	276	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L2-FEAT-XDIAG	GCC-CC1/CC1PLUS/LTO1 || L1-FEAT-XDIAG: GCC-DRIVER	gcc/common/config/riscv/riscv-common.cc:riscv_subset_list::add || L1-FEAT-XDIAG: riscv_subset_list::add	unsupported non-standard111 extension || L1-FEAT-XDIAG: non-standard111 literal	one literal change || L1-FEAT-XDIAG: one literal patch	unknown_x123 || L1-FEAT-XDIAG: MARCH-10	exact WCH diagnostic includes non-standard111 || L1-FEAT-XDIAG: WCH diagnostic	upstream emits non-standard extension || L1-FEAT-XDIAG: upstream diagnostic	direct matched control emits upstream spelling	unknown-X diagnostic remains byte-exact with WCH in driver/backend controls	0002 GCC	Phase3b not run || L1-FEAT-XDIAG: Phase3b NOT-RUN	COVERED-BEHAVIOR-EXACT	literal match	HIGH	tmp/phase3f-evidence/matrix/driver/probe-results.tsv;tmp/phase3f-evidence/matrix/backend/matrix/comparisons.tsv	diagnostic bytes	true	false	2	2	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L2-FEAT-XW	GCC-CC1/CC1PLUS/LTO1 || L1-FEAT-XW: GCC-DRIVER	gcc/common/config/riscv/riscv-common.cc:riscv_ext_version_table	WCH xw acceptance and __riscv_xw macros || L1-FEAT-XW: xw cstring and WCH acceptance	adds xw NONE 2.0 registration || L1-FEAT-XW: adds xw NONE 2.0	xw_bare,xw_2p0,xw_2p2,xw_with_d || L1-FEAT-XW: MARCH-01..14,PP-MACROS-XW	accept bare/explicit XW; bare defaults 2.0 || L1-FEAT-XW: accepts bounded bare/explicit XW surface	P2 direct cc1 rejects all four; driver also rejects via multilib || L1-FEAT-XW: rejects XW; ten startup multilib parser errors	driver rejects XW as pristine control; direct backend controls execute where applicable	seven mandatory driver rows and four backend XW acceptance artifacts are exact	0001 GCC	Phase3b not run || L1-FEAT-XW: Phase3b NOT-RUN	COVERED-BYTE-EXACT	patch matches bounded acceptance/version surface || L1-FEAT-XW: source patch matches bounded acceptance surface	HIGH	tmp/phase3f-evidence/matrix/driver/probe-results.tsv;tmp/phase3f-evidence/matrix/backend/matrix/comparisons.tsv	march acceptance attributes macros || L1-FEAT-XW: march acceptance/macros/diagnostics	true	true	18	18	EXACT	EXACT	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-ATTRIBUTES	BINUTILS-GAS	gas/config/tc-riscv.c:riscv_set_public_attributes	march-attr string fileoff0xf2b2e and bounded policy probes	changes synthesis/rewrite policy	default-off,-march-attr,explicit literal,sticky/enable controls	default and -march-attr suppress attributes; explicit literal is preserved; XW enable/sticky behavior bounded	P2 synthesizes current attributes or rejects bare XW controls	MATCHED behavior follows P2	XW attribute policy and all bounded successful objects are byte-exact	0004 binutils	Phase3b NOT-RUN	COVERED-BYTE-EXACT	RECLASSIFIED-COVERED by OURS-V2 exhaustive/targeted evidence	HIGH	tmp/phase3f-evidence/matrix/gas/xw-matrix/summary.json;tmp/phase3f-evidence/matrix/gas/custom32-matrix/summary.json;tmp/phase3f-evidence/matrix/gas/halfword-objdump/summary.json;tmp/phase3f-evidence/matrix/gas/surface-matrix/summary.json	target-byte	true	true	5	5	NOT-APPLICABLE	EXACT	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-CUSTOM32	BINUTILS-GAS/BINUTILS-OBJDUMP	opcodes/riscv-opc.c:580-583;include/opcode/riscv-opc.h:2294-2300	as table vm=[0x100121190,0x100121270);objdump records vm=0x100150850..	adds mcpy/mrsl/mrslu/wexti with field/F5 parser	20,650 pairwise cases x 5 profiles x 4 executable sets	accepts 20,650 except RV32E legal-register subset 7,162; encodings follow formulas and disassemble exactly	P2 rejects all 103,250	MATCHED rejects all 103,250	103,250 acceptance/encoding decisions and five emitted profile objects are byte-exact	0003 binutils	Phase3b NOT-RUN	COVERED-BYTE-EXACT	RECLASSIFIED-COVERED by OURS-V2 exhaustive/targeted evidence	HIGH	tmp/phase3f-evidence/matrix/gas/xw-matrix/summary.json;tmp/phase3f-evidence/matrix/gas/custom32-matrix/summary.json;tmp/phase3f-evidence/matrix/gas/halfword-objdump/summary.json;tmp/phase3f-evidence/matrix/gas/surface-matrix/summary.json	target-byte	true	true	103250	103250	NOT-APPLICABLE	EXACT	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-DCXW-PRIORITY	BINUTILS-OBJDUMP	bfd/elfxx-riscv.c:2857;opcodes/riscv-dis.c:1019-1021	WCH disassembler function/table anchors	frozen five-patch source disables Zcd when xw and then skips XW class	D+C+XW x default/no-aliases x 65,536 words	WCH/P2 decode 0x2000-run as fld/c.fld and 0xa000-run as fsd/c.fsd	P2 equals WCH on the 8,192 collision words per mode except independent 66 custom32 words	MATCHED ordered output equals P2	D+C+XW default/no-aliases exhaustive decode is exact in both 65,536-word cells	0002 binutils interaction	Phase3b NOT-RUN	COVERED-BEHAVIOR-EXACT	RECLASSIFIED-COVERED by OURS-V2 exhaustive/targeted evidence	HIGH	tmp/phase3f-evidence/matrix/gas/xw-matrix/summary.json;tmp/phase3f-evidence/matrix/gas/custom32-matrix/summary.json;tmp/phase3f-evidence/matrix/gas/halfword-objdump/summary.json;tmp/phase3f-evidence/matrix/gas/surface-matrix/summary.json	functional	true	false	131072	131072	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-DEFAULT-ISA-SPEC	BINUTILS-GAS	GAS default ISA spec selection	mapping symbol strings observed dynamically	five WCH patches do not align base default versions	5 default profile objects plus 3 explicit -misa-spec=2.2 controls	WCH defaults to i2p0/a2p0; rv32e e1p9; explicit 2.2 unchanged	P2 defaults to i2p1/a2p1; explicit 2.2 control aligns base fields	MATCHED follows P2 default source behavior	configured ISA spec 2.2 makes all default and explicit controls byte-exact	no dedicated frozen patch	Phase3b NOT-RUN	COVERED-BYTE-EXACT	RECLASSIFIED-COVERED by OURS-V2 exhaustive/targeted evidence	HIGH	tmp/phase3f-evidence/matrix/gas/xw-matrix/summary.json;tmp/phase3f-evidence/matrix/gas/custom32-matrix/summary.json;tmp/phase3f-evidence/matrix/gas/halfword-objdump/summary.json;tmp/phase3f-evidence/matrix/gas/surface-matrix/summary.json	target-byte	true	true	8	8	NOT-APPLICABLE	EXACT	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-DELAY-VISIBLE	BINUTILS-GAS/BINUTILS-OBJDUMP	generic .insn path; no delay mnemonic table	no standalone delay mnemonic found	no WCH-specific source delta established	mnemonic negative plus .insn 4,0x0000100b	WCH rejects delay mnemonic and accepts generic bytes	P2 same visible acceptance	MATCHED same visible acceptance	WCH and OURS-V2 remain exact on the mnemonic negative and generic .insn surface; hardware meaning is not inferred	no patch	Phase3b NOT-RUN	UPSTREAM-IDENTICAL	Tool-visible bounded behavior is not evidence of delay hardware semantics	MEDIUM	tmp/phase3f-evidence/matrix/gas/surface-matrix/summary.json	functional	true	false	2	2	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-OBJDUMP-HALFWORD	BINUTILS-OBJDUMP	opcodes/riscv-dis.c:riscv_disassemble_insn;opcodes/riscv-opc.c:riscv_opcodes	WCH disassembler [0x100041074,0x10004153c) and opcode records	adds WCH custom/XW decode namespace	standard-C,XW,Zcb x default/no-aliases x 65,536 words	WCH decode profiles captured without missing word; custom32/XW namespace differs from upstream	P2 differs from WCH by 66 words/profile/mode	MATCHED ordered decode records exactly equal P2 in all eight profile/mode cells	standard-C, XW, and Zcb profiles x two modes x 65,536 halfwords are exact; DCXW is counted only in its dedicated feature	0002+0003 binutils	Phase3b NOT-RUN	COVERED-BEHAVIOR-EXACT	RECLASSIFIED-COVERED by OURS-V2 exhaustive/targeted evidence	HIGH	tmp/phase3f-evidence/matrix/gas/xw-matrix/summary.json;tmp/phase3f-evidence/matrix/gas/custom32-matrix/summary.json;tmp/phase3f-evidence/matrix/gas/halfword-objdump/summary.json;tmp/phase3f-evidence/matrix/gas/surface-matrix/summary.json	functional	true	false	393216	393216	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-OPCODE-NAMESPACE	BINUTILS-GAS/BINUTILS-OBJDUMP	opcode/extension name universe	WCH standalone xw,mcpy,wexti,mrslu,mrsl,c.lbusp strings and table xrefs	WCH-only XW/custom namespace versus exact upstream	5x8704 XW plus 5x20650 custom32 cases/set and exhaustive halfword decode	WCH exposes XW and four custom32 names with proven table records	P2 standalone names absent and rejects both corpora	MATCHED standalone names absent and rejects both corpora	XW/custom32 namespace plus bounded decode surface is exact	0001+0002+0003 binutils	Phase3b NOT-RUN	COVERED-BYTE-EXACT	RECLASSIFIED-COVERED by OURS-V2 exhaustive/targeted evidence	HIGH	tmp/phase3f-evidence/matrix/gas/xw-matrix/summary.json;tmp/phase3f-evidence/matrix/gas/custom32-matrix/summary.json;tmp/phase3f-evidence/matrix/gas/halfword-objdump/summary.json;tmp/phase3f-evidence/matrix/gas/surface-matrix/summary.json	target-byte	true	true	146770	146770	NOT-APPLICABLE	EXACT	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-RELAXATION	BINUTILS-GAS	upstream relocation relaxation	WCH bounded relocation output	no dedicated WCH patch	default relax and .option norelax controls	default produces two R_RISCV_RELAX; norelax produces none	P2 relocation behavior matches	MATCHED relocation behavior matches	default/norelax relocation objects are byte-exact	no patch	Phase3b NOT-RUN	COVERED-BYTE-EXACT	RECLASSIFIED-COVERED by OURS-V2 exhaustive/targeted evidence	HIGH	tmp/phase3f-evidence/matrix/gas/xw-matrix/summary.json;tmp/phase3f-evidence/matrix/gas/custom32-matrix/summary.json;tmp/phase3f-evidence/matrix/gas/halfword-objdump/summary.json;tmp/phase3f-evidence/matrix/gas/surface-matrix/summary.json	target-byte	true	true	2	2	NOT-APPLICABLE	EXACT	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-XW-ARCH	BINUTILS-GAS	bfd/elfxx-riscv.c:riscv_supported_vendor_x_ext	as xw record vm=0x10015a168	adds xw draft default 2.2.0	5 labels x 8,704 cases/set plus bounded negatives	accepts xw,xw1p0,xw2p0,xw2p2,xw3p0 and all legal XW operands	both exact upstream controls reject every 43,520 label-case	UPSTREAM-MATCHED rejects every 43,520 label-case	five labels x 8,704 XW cases and targeted controls are exact	0001 binutils	Phase3b NOT-RUN	COVERED-BYTE-EXACT	RECLASSIFIED-COVERED by OURS-V2 exhaustive/targeted evidence	HIGH	tmp/phase3f-evidence/matrix/gas/xw-matrix/summary.json;tmp/phase3f-evidence/matrix/gas/custom32-matrix/summary.json;tmp/phase3f-evidence/matrix/gas/halfword-objdump/summary.json;tmp/phase3f-evidence/matrix/gas/surface-matrix/summary.json	target-byte	true	true	43520	43520	NOT-APPLICABLE	EXACT	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-XW-ASSEMBLY	BINUTILS-GAS	opcodes/riscv-opc.c:603-650,2301-2323;include/opcode/riscv-opc.h:2277-2292	as c.lbu/c.lbusp records vm=0x100135c88/0x100129380	8 explicit forms plus ordinary aliases and operand encoders	8,704 legal cases x 5 labels x 4 executable sets	WCH accepts and emits canonical stream sha256 a6ac4731...; form counts 2048x4 plus128x4	P2 rejects all 43,520	MATCHED rejects all 43,520	all 43,520 XW instruction streams and representative objects are byte-exact	0002 binutils	Phase3b NOT-RUN	COVERED-BYTE-EXACT	RECLASSIFIED-COVERED by OURS-V2 exhaustive/targeted evidence	HIGH	tmp/phase3f-evidence/matrix/gas/xw-matrix/summary.json;tmp/phase3f-evidence/matrix/gas/custom32-matrix/summary.json;tmp/phase3f-evidence/matrix/gas/halfword-objdump/summary.json;tmp/phase3f-evidence/matrix/gas/surface-matrix/summary.json	target-byte	true	true	43520	43520	NOT-APPLICABLE	EXACT	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-XW-DIAGNOSTICS	BINUTILS-GAS	gas/config/tc-riscv.c:riscv_ip	WCH riscv_ip [0x100032b7c,0x100038304) dual xrefs to illegal-operands/unrecognized-opcode	XW operand/option error-class selection	seven diagnostic controls within 43 targeted cases x four sides in one absolute workdir	WCH exact diagnostics captured	P2 uses upstream namespace and differs on XW-specific paths	MATCHED follows P2 content; late raw hashes embed a different absolute work path	6/7 canonical diagnostic controls are exact; across the enclosing surface 42/43 cells are exact, with only norvc-explicit remaining illegal-operands versus unrecognized-opcode	0001+0002 binutils	Phase3b NOT-RUN	GAP	CARRIED historical GAP: tc-riscv.c:riscv_ip XW disabled-candidate diagnostic precedence	HIGH	tmp/phase3f-evidence/matrix/gas/surface-matrix/summary.json;tmp/phase3f-evidence/matrix/gas/surface-matrix/probe-results.tsv	functional	true	false	6	7	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L3-FEAT-XW-MAPPING	BINUTILS-GAS	mapping-symbol ISA serialization	WCH mapping $x...i2p0...a2p0...xw2p2	bare xw suffix defaults to xw2p2	5 exhaustive labels plus bare/explicit targeted controls	bare xw suffix is xw2p2; explicit version suffixes pass through; base default is ISA spec 2.2	P2 rejects bare XW; explicit current-base mappings differ	MATCHED same source behavior as P2	five exhaustive XW mapping-symbol labels are byte-exact, including base ISA 2.2 and suffix versions	0005 binutils	Phase3b NOT-RUN	COVERED-BYTE-EXACT	RECLASSIFIED-COVERED by OURS-V2 exhaustive/targeted evidence	HIGH	tmp/phase3f-evidence/matrix/gas/xw-matrix/summary.json;tmp/phase3f-evidence/matrix/gas/custom32-matrix/summary.json;tmp/phase3f-evidence/matrix/gas/halfword-objdump/summary.json;tmp/phase3f-evidence/matrix/gas/surface-matrix/summary.json	target-byte	true	true	5	5	NOT-APPLICABLE	EXACT	NOT-APPLICABLE	NOT-APPLICABLE
